"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"365",63.43,64.43,63.279999,63.75,1725400,56.601517
"366",63.84,64.239998,63.290001,63.48,3552300,56.36179
"367",63.360001,63.619999,62.23,62.419998,2124000,55.420643
"368",62.130001,62.82,61.939999,62.009998,2462500,55.056618
"369",62.32,62.73,61.669998,62.66,1518200,55.633736
"370",62.77,62.889999,62.07,62.860001,1555700,55.81131
"371",62.509998,63.389999,62.169998,63.119999,4756400,56.527756
"372",63.25,63.919998,63.029999,63.66,1804500,57.01136
"373",63.639999,63.639999,63,63.029999,1884000,56.447155
"374",63.189999,63.41,62.66,62.689999,1699100,56.142666
"375",62.689999,63.509998,62.599998,63.299999,1834000,56.688961
"376",62.970001,63.939999,62.610001,63.689999,3031500,57.038227
"377",63.68,63.939999,62.639999,63.470001,1859100,56.841209
"378",63.48,64.339996,63.189999,63.599998,992300,56.957626
"379",63.639999,64.360001,63.349998,64.349998,1719300,57.629292
"380",64.550003,64.900002,64.279999,64.790001,1959100,58.023346
"381",64.790001,64.989998,64.129997,64.550003,2413300,57.808418
"382",64.559998,64.959999,64.269997,64.870003,2185600,58.094986
"383",64.830002,65.209999,64.68,64.870003,1411700,58.094986
"384",65.110001,65.309998,64.790001,65.129997,1518100,58.327831
"385",65.220001,65.480003,64.459999,64.5,1229800,57.763626
"386",64.309998,64.610001,63.82,64.43,1233300,57.700947
"387",64.589996,64.589996,63.75,63.860001,1534400,57.190472
"388",63.75,64.339996,63.68,64.050003,2125300,57.360638
"389",63.84,64.889999,63.75,64.290001,1631300,57.575565
"390",64.010002,64.169998,63.119999,63.220001,1511600,56.61731
"391",63.279999,63.279999,62.709999,63.23,1445800,56.62627
"392",63.169998,63.639999,62.68,63.5,2486100,56.868069
"393",64.110001,65.610001,63.5,64.610001,1901600,57.862148
"394",65.260002,65.260002,64.300003,64.5,1700700,57.763626
"395",64.669998,64.769997,63.880001,64.029999,1514000,57.342716
"396",64.010002,64.089996,63.380001,63.77,1524100,57.109871
"397",64.239998,65.940002,63.990002,65.43,3097400,58.596508
"398",64.980003,66.010002,64.669998,65.910004,2065600,59.026371
"399",65.699997,66.419998,65.68,65.970001,1386700,59.080109
"400",65.989998,66.940002,65.730003,66.910004,1314500,59.921932
"401",66.849998,67.410004,66.660004,67,1042100,60.002537
"402",67,67,66.339996,66.910004,942900,59.921932
"403",67.040001,67.040001,66.489998,66.550003,948700,59.599525
"404",66.580002,66.949997,66.360001,66.889999,699500,59.904018
"405",66.769997,67.050003,65.940002,65.959999,958200,59.07114
"406",65.910004,66.470001,65.809998,66.349998,1062300,59.42041
"407",65.639999,67.07,65.629997,66.599998,1178400,59.644306
"408",66.57,67.360001,66.480003,67.160004,1440900,60.145824
"409",67.160004,67.489998,66.919998,67.389999,802000,60.351791
"410",67.449997,67.879997,67.260002,67.849998,1341500,60.763756
"411",68,68.190002,67.57,67.75,1112600,60.674202
"412",67.629997,67.699997,66.900002,66.980003,1133900,59.984631
"413",66.980003,67.199997,66.599998,66.900002,1095200,59.912971
"414",67.019997,67.25,66.800003,66.860001,1023000,59.877151
"415",66.769997,67.529999,66.769997,67.43,1905000,60.387619
"416",67.529999,67.580002,66.779999,67.480003,1802800,60.4324
"417",67.440002,67.940002,67.07,67.93,1379000,60.835392
"418",67.910004,68.139999,67.760002,67.919998,1218300,60.82645
"419",68.18,68.18,67.550003,67.660004,982300,60.593601
"420",67.839996,68.050003,67.32,67.75,1261200,60.674202
"421",67.449997,67.870003,66.849998,67.019997,1475100,60.020439
"422",67.050003,67.879997,66.760002,67.43,1611700,60.387619
"423",67.669998,68.269997,67.489998,67.989998,1531600,60.889133
"424",67.540001,67.660004,66.879997,67.239998,1228500,60.217453
"425",67.629997,68.089996,67.230003,67.800003,1125400,60.718987
