"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"61",158.729996,160.660004,158.570007,160.050003,582700,147.781769
"62",159.350006,161.229996,159.020004,160.320007,739600,148.031021
"63",160.169998,161.300003,158.160004,159.610001,1007700,147.375443
"64",159.490005,160.929993,158.839996,160.25,711800,147.9664
"65",160.979996,163.139999,159.600006,159.809998,856200,147.56012
"66",160.130005,161.410004,159.630005,160.229996,756700,147.947906
"67",160.279999,161.619995,160.190002,161.020004,911100,148.677368
"68",161.229996,162.639999,160.279999,160.350006,1082500,148.058746
"69",159.880005,160.839996,158.75,160.809998,944900,148.483459
"70",161.139999,161.570007,155.210007,155.419998,2024400,143.506622
"71",154.580002,156.080002,153.470001,153.589996,1309900,141.81691
"72",154.600006,155.880005,153.649994,155.720001,1058100,143.783646
"73",154.550003,156.490005,154.389999,155.759995,1155600,143.820572
"74",156.559998,156.699997,154.169998,154.820007,915300,142.952652
"75",156.029999,157.740005,155.210007,157.070007,1011100,145.030182
"76",157.330002,157.759995,156,156.309998,1053900,144.328415
"77",159,160.820007,158.869995,160.610001,1319200,148.298798
"78",161.759995,165.600006,161.570007,165.220001,2121800,152.555405
"79",164.889999,165.949997,163.550003,164.539993,1784900,151.927551
"80",165.509995,166.600006,159.449997,161.979996,2452200,149.563797
