"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"837",36.470001,36.790001,35.880001,36.220001,5533300,34.772148
"838",35.790001,36.049999,35.369999,35.700001,3423200,34.272934
"839",35.529999,35.880001,35.169998,35.849998,2930200,34.416935
"840",36.27,37.16,36.080002,36.630001,4045000,35.16576
"841",37.209999,38.049999,37.02,37.849998,5307600,36.336987
"842",38.130001,38.610001,37.740002,38.18,4392200,36.653801
"843",38.43,39.110001,38.43,39.049999,3230900,37.489021
"844",38.470001,39.880001,38.470001,39.740002,3418000,38.15144
"845",39.799999,39.959999,38.82,38.82,3842900,37.268215
"846",38.709999,39.240002,37.790001,38.34,4332600,36.807404
"847",38.099998,38.740002,37.720001,38.68,4612400,37.133808
"848",38.299999,39.119999,38.049999,38.919998,5147300,37.364216
"849",40,40.459999,38.939999,39.07,6948600,37.508221
"850",39,39.34,38.549999,38.560001,4261000,37.018604
"851",39.049999,39.580002,38.830002,39.09,3205100,37.52742
"852",39.169998,39.169998,38.52,38.709999,3017500,37.162613
"853",38.619999,38.919998,38.5,38.68,1967000,37.133808
"854",39.07,40.209999,38.880001,39.720001,6224000,38.132244
"855",39.93,40.560001,39.330002,40.540001,5329700,38.919468
"856",40.68,40.919998,40.150002,40.380001,3704100,38.765862
"857",40.389999,41.450001,40.34,41.259998,5958500,39.610676
"858",41.380001,41.380001,40.529999,40.66,2783000,39.034664
"859",40.970001,41.220001,40.650002,41.189999,3863600,39.54348
"860",41.48,42.27,41.07,42.060001,3760600,40.378708
"861",41.919998,42.709999,41.330002,41.700001,4377500,40.033092
"862",42.060001,42.889999,41.779999,42.66,6166500,40.954716
"863",42.380001,43.189999,42.150002,42.880001,4388100,41.165924
"864",42.310001,43.119999,42.220001,42.860001,3280300,41.146725
"865",43,43.200001,42.34,42.490002,3439500,40.791512
"866",42.029999,42.09,40.59,40.639999,3806000,39.015461
"867",41.48,41.48,39.349998,40.060001,4193300,38.458652
"868",39.639999,40.73,39.150002,40.709999,4988100,39.082664
"869",41.799999,42.09,40.91,41.810001,4664800,40.138691
"870",42.040001,42.369999,41.700001,42.060001,3116600,40.378708
