"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"555",159.809998,160.449997,157.679993,157.869995,171800,154.105316
"556",157.960007,158.289993,156.580002,157.220001,158100,153.470795
"557",156.770004,160.539993,156.520004,159.759995,125800,155.950272
"558",158.820007,159.779999,156.050003,156.220001,211900,152.494675
"559",156.009995,158.869995,156.009995,158.350006,131100,154.573883
"560",159.350006,159.610001,156.419998,157.449997,154000,153.695343
"561",157.479996,160.880005,157.059998,160.839996,181000,157.004517
"562",160.070007,164.619995,160,164.520004,297700,160.596756
"563",165,166.399994,164.160004,164.970001,278300,161.036026
"564",166,167.979996,164.940002,167.830002,186300,163.827835
"565",167.600006,168.199997,165.899994,167.710007,323700,163.710663
"566",168.809998,171,168.110001,169.740005,177700,165.692276
"567",170.080002,171.160004,168.309998,169.490005,219100,165.448227
"568",169.860001,170.820007,168.800003,170.330002,211200,166.268204
"569",169.720001,170.720001,169.210007,169.919998,114100,165.867966
"570",168.449997,168.970001,159.710007,162.380005,599200,158.507797
"571",163.789993,164.740005,161.139999,163.830002,232300,159.923233
"572",164.279999,167.009995,163.600006,165.059998,241900,161.123856
"573",165.699997,168.369995,165.440002,168.089996,196700,164.081604
"574",168.100006,170.800003,163,170.419998,180800,166.356064
"575",171,172,169.960007,170.619995,250900,166.55127
"576",171.270004,172.690002,168.800003,169.160004,303100,165.126114
"577",170.850006,178.729996,167.770004,177.889999,448500,173.647903
"578",177.880005,180.990005,176.080002,178.110001,379600,173.862671
"579",177.660004,180.490005,177.610001,178.460007,258500,174.20433
"580",178.789993,180.910004,178.300003,179.410004,227100,175.131653
"581",178.639999,178.800003,176.339996,176.740005,199500,172.525345
"582",177,178.940002,175.380005,178.809998,147900,174.545975
"583",179.210007,181.110001,178.410004,181.009995,167300,176.693512
