"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"198",47.73,48.259998,47.619999,47.959999,1220600,45.307961
"199",47.939999,47.950001,47.630001,47.860001,1231200,45.213493
"200",47.66,47.75,47.380001,47.700001,1119200,45.062336
"201",47.720001,47.880001,47.27,47.41,1401200,44.788361
"202",47.220001,47.279999,46.91,47.279999,1273000,44.665565
"203",47.209999,47.220001,45.779999,46.18,2418000,43.626377
"204",46.220001,46.450001,45.990002,46.189999,1737100,43.635826
"205",46.200001,46.380001,45.68,45.720001,1546600,43.191822
"206",45.689999,46,44.919998,45.759998,1530900,43.229607
"207",45.810001,46.139999,45.669998,45.759998,1453500,43.229607
"208",45.360001,45.560001,45.09,45.32,1712000,42.813942
"209",45.220001,45.25,44.75,44.810001,2194700,42.332142
"210",44.810001,45.43,44.740002,45.169998,3555300,42.672226
"211",45.389999,46.48,45.279999,46.18,4003700,43.626377
"212",46.07,46.099998,44,45.43,5230900,42.917862
"213",45.43,45.5,43.5,43.919998,2914300,41.491352
"214",43.830002,43.880001,43.209999,43.32,2897600,40.924541
"215",43.450001,43.880001,43.419998,43.759998,3160600,41.340195
"216",44,44.740002,44,44.450001,2412100,41.992046
"217",44.380001,44.799999,43.990002,44,2566300,41.566921
"218",44,44.970001,43.959999,44.75,3618800,42.275455
"219",44.790001,45.560001,44.75,45.540001,2189700,43.021774
"220",45.25,45.959999,45.25,45.740002,3565400,43.391747
"221",45.639999,45.709999,44.380001,44.41,1850100,42.130032
"222",44.599998,45.32,44.48,45.139999,2138100,42.822556
"223",44.869999,45.209999,44.439999,44.75,1871300,42.452572
"224",44.779999,44.950001,44.41,44.68,1486100,42.386169
"225",44.75,45.189999,44.639999,44.799999,1257300,42.500011
"226",45.040001,45.200001,44.540001,44.759998,1523000,42.462055
"227",44.93,44.93,44.599998,44.82,900600,42.518986
"228",44.740002,45.259998,44.720001,45.099998,1490900,42.784603
"229",45.259998,45.689999,45.18,45.650002,2519300,43.306381
