"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"211",150.529999,152.25,150.509995,151.309998,1511400,138.865204
"212",151.600006,152.119995,147.779999,149.259995,2708700,136.98381
"213",148.649994,149.679993,147.759995,148.270004,1822300,136.075211
"214",147.75,149.410004,147.270004,149.199997,1472300,136.928772
"215",149.820007,150.809998,149.130005,149.800003,1345200,137.479431
"216",151.660004,151.660004,149.619995,150.100006,1466300,137.75473
"217",149.729996,151.720001,149.25,151.639999,1206000,139.16806
"218",151.149994,151.889999,150.050003,151.350006,1016000,138.901917
"219",151.139999,151.830002,150.020004,151.339996,1065400,138.8927
"220",150.679993,151.039993,149.410004,150.690002,1216300,138.296204
"221",150.25,151.75,149.029999,151.160004,1597500,138.727524
"222",151.479996,151.479996,148.800003,148.860001,1244800,136.61673
"223",148.190002,149.160004,147.979996,148.630005,966700,136.405624
"224",148.570007,149.410004,147.839996,149,982800,136.745193
"225",149.5,150,148.970001,149.179993,960600,136.910385
"226",148.759995,149.110001,147.970001,148.25,982200,136.0569
"227",149.100006,149.100006,148.050003,148.929993,465200,136.680969
"228",148.929993,149.699997,148.160004,149.259995,798200,136.98381
"229",149.759995,152.119995,149,151.570007,1119600,139.103821
"230",152.25,153.339996,151.580002,152.639999,1408500,140.085815
"231",153,153.470001,150.610001,152.110001,2256800,139.599411
"232",151.910004,152.789993,148.199997,151.639999,1556400,139.16806
"233",153.380005,153.380005,150.809998,150.820007,1311600,138.415497
"234",151.460007,151.460007,149,150.179993,1476200,137.828125
"235",149.979996,151.309998,149.580002,150.869995,1395800,138.461426
"236",150.630005,150.979996,148.899994,149.440002,1383400,137.149017
"237",149.410004,150.110001,148.259995,150.050003,1311800,137.708817
"238",150.039993,150.279999,149.130005,150.240005,1306400,137.883194
"239",150.050003,150.770004,149.600006,150.5,1216900,138.121826
"240",150.720001,150.720001,148.389999,148.440002,1236900,136.231262
"241",148.440002,148.649994,145.229996,146.119995,2639900,134.102051
"242",147.050003,149.399994,146.660004,148.720001,2533000,136.48822
"243",149.229996,150.100006,147.070007,147.860001,1394800,135.698975
"244",148.380005,149.119995,147.100006,147.619995,1502500,135.478714
"245",147.830002,148.089996,145.729996,145.970001,1657000,133.964417
"246",146.759995,146.949997,144.770004,145.009995,1621900,133.083359
"247",145.820007,145.820007,144.300003,145.199997,1322800,133.257751
"248",144.889999,146.270004,144.600006,145.309998,744200,133.358688
"249",145.589996,146.380005,145.139999,146.169998,1134100,134.147949
"250",145.649994,146.619995,145.539993,146.160004,1270900,134.793518
"251",146.679993,147.25,146,146.130005,1311100,134.765884
"252",146.419998,147.070007,141.399994,142.300003,1986500,131.233704
"253",141.910004,144.139999,141.759995,143.419998,2675400,132.266586
"254",143.610001,145.330002,143.339996,144,1935500,132.801514
"255",144.360001,144.960007,142.779999,144.259995,1629100,133.041275
"256",143.559998,143.740005,142.009995,143.529999,1556100,132.368027
"257",143.740005,146.220001,142.860001,145.850006,2208600,134.507629
"258",145.529999,145.830002,144.949997,145.289993,1541600,133.991165
"259",145.229996,145.880005,143.850006,144.5,1428600,133.262604
"260",144.699997,145.820007,143.669998,145.639999,1357400,134.31398
"261",145.960007,146.169998,144.679993,145.669998,1867800,134.341629
"262",146.520004,147.820007,145.779999,147.539993,1729100,136.066177
"263",147.550003,148.309998,146.429993,147.690002,1327400,136.204529
"264",148.009995,148.300003,146.949997,148.199997,1475000,136.674881
"265",148.539993,149.820007,148.389999,149.789993,1436600,138.14122
"266",149.800003,154.190002,149.75,153.289993,3036100,141.369049
"267",153.160004,155.380005,152.570007,154.979996,2113600,142.927628
"268",154.910004,155.289993,153.289993,154.809998,1641700,142.770828
"269",154.960007,155.910004,154.25,155.800003,1311400,143.683853
"270",155.5,155.809998,153.929993,154.119995,1334700,142.134476
"271",153.940002,155.550003,152.929993,153.059998,2203700,141.156937
"272",154.350006,157.5,153.850006,156.149994,3363800,144.006622
