"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"898",103.07,103.790001,101.099998,101.980003,964300,98.399513
"899",102.010002,103.089996,99.519997,101.970001,940700,98.38987
"900",100.580002,101.650002,97.709999,98.279999,828400,94.829407
"901",100.580002,100.580002,94.610001,96.120003,824900,92.745255
"902",96.790001,97.110001,95.470001,95.949997,728300,92.581215
"903",94.760002,95.980003,93.959999,95.370003,1750500,92.021599
"904",96.290001,97.410004,95.790001,95.860001,758400,92.494385
"905",95.959999,96.43,94.919998,95.010002,696800,91.674225
"906",92.169998,95.529999,92.019997,95.470001,2132500,92.11808
"907",95.690002,97.559998,95.169998,97.559998,1882100,94.134682
"908",98.720001,101.760002,98.57,100,946300,96.489029
"909",100.620003,101.43,98.449997,99.400002,494100,95.910095
"910",98.739998,99.830002,98.389999,99.220001,375100,95.73642
"911",98.489998,100.470001,98.199997,99.669998,348200,96.170616
"912",99.900002,100.669998,98.970001,99.230003,406800,95.746063
"913",99.309998,99.779999,97.989998,98.029999,349800,94.588196
"914",98.68,99.889999,97.690002,98.110001,647400,94.665382
"915",96.849998,97.68,95.730003,96.720001,306800,93.324181
"916",96.720001,97.349998,95.550003,95.959999,422100,92.590874
"917",96.75,100.029999,96.75,99.720001,571500,96.218864
"918",100.18,100.400002,97.760002,99.190002,518000,95.707466
"919",98.870003,100,98.389999,99.860001,614200,96.353943
"920",99.980003,102.410004,99.959999,102.099998,932800,98.515289
"921",102.169998,102.940002,101.720001,102.269997,604900,98.679321
"922",103.07,103.269997,100.32,101.239998,770600,97.685486
"923",101.129997,104.239998,100.639999,104.220001,680200,100.560867
"924",104.349998,107.199997,103.720001,107.139999,800100,103.378342
"925",107.139999,108.040001,104.089996,105.949997,1175200,102.230125
"926",106.970001,107.660004,105.120003,106.550003,732800,102.809067
"927",105.849998,106.360001,103.449997,103.480003,743800,99.846848
"928",104.550003,106.07,103.860001,104.510002,638900,100.840683
"929",104.599998,105.419998,102.68,103.510002,916500,99.875793
"930",103.639999,105.099998,103.059998,104.610001,675600,100.937164
