"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"1",111.783943,112.042725,110.7584,111.352638,3155931,100.669777
"2",111.793526,112.109818,111.20887,111.659348,3069124,100.947067
"3",111.688095,112.579453,111.390976,111.908539,2766030,101.17234
"4",112.081062,113.777519,111.66893,113.604996,3770361,102.706055
"5",113.355797,113.47081,112.665718,112.665718,4030573,101.856888
"6",112.454857,113.518738,112.023552,112.953255,3914552,102.116837
"7",112.656128,113.212029,112.263168,113.106606,3012262,102.25547
"8",113.106606,113.106606,111.812698,112.742393,3298557,101.926208
"9",112.780731,113.394135,112.723221,113.164108,3117849,102.307449
"10",112.541115,113.173691,112.148155,112.359009,3506602,101.579597
"11",112.636963,113.384552,112.339844,113.154526,2405552,102.298798
"12",113.413307,113.815857,112.435684,113.010757,2517817,102.168823
"13",113.518738,113.518738,112.253586,112.9245,3070689,102.090851
"14",112.991592,113.336632,112.1194,112.531532,2371643,101.735573
"15",112.751976,113.173691,112.397346,113.058678,2664721,102.212151
"16",113.355797,113.729591,112.828651,112.982002,4480362,102.142815
"17",113.07785,113.202446,112.406937,113.068268,6447081,102.22081
"18",113.720009,114.160896,112.253586,113.499565,4041737,102.610741
"19",113.183281,114.170479,112.866989,114.160896,3296992,103.208626
"20",114.036301,114.275909,112.493195,113.403725,4427777,102.524094
"21",113.777519,113.988373,112.560287,113.097015,2503627,102.246811
"22",112.694466,113.221619,112.263168,113.087433,2309773,102.238144
"23",113.595413,114.400513,113.010757,114.237572,2984404,103.277939
"24",114.084221,114.620949,113.921288,114.38134,3136316,103.407928
"25",114.707214,115.167267,114.458015,114.745552,2659400,103.73719
"26",114.649704,115.013916,114.352585,114.755135,1903178,103.745842
"27",114.755135,115.943611,114.668877,115.646492,2279515,104.551697
"28",115.771095,116.930817,115.723167,116.787048,3745947,105.582825
