"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"825",29.889999,30.51,28.959999,30.469999,7603300,25.722845
"826",28.690001,29.25,27.299999,27.41,7821400,23.139585
"827",27.309999,27.309999,25.92,26.57,5513700,22.430454
"828",27.49,29.540001,27.450001,29.379999,6398500,24.802664
"829",27,29.469999,26.700001,28.209999,8428700,23.814947
"830",26.85,27.49,25.559999,26.93,8532100,22.734367
"831",28,28.129999,26.030001,27.309999,7861600,23.055166
"832",28.23,29.540001,28.01,29.200001,8158900,24.650707
"833",28.75,29.459999,27.48,27.66,8930200,24.123072
"834",27.16,28.690001,26.27,28.52,6242000,24.8731
"835",29.290001,30.6,28.48,30.530001,6169800,26.626078
"836",31.440001,32.639999,29.059999,30.92,9853700,26.966209
"837",30.549999,31.280001,29.629999,29.93,7156300,26.102802
"838",28.57,29.139999,27.67,27.940001,4875500,24.367266
"839",27,29.209999,26.9,29.190001,5440200,25.457428
"840",30,30.370001,29.129999,29.93,4784200,26.102802
"841",29.93,30.4,28.65,28.65,3614700,24.986477
"842",29.5,30.530001,29.43,29.75,4700800,25.945818
"843",30.440001,31.52,30.209999,31.33,5073000,27.323784
"844",30.76,31.940001,30.639999,31.379999,3687100,27.36739
"845",31.799999,33.970001,31.719999,32.939999,7975000,28.727905
"846",31.84,32.18,29.780001,30.48,8373200,26.582472
"847",29.93,31.4,28.809999,30.709999,5431200,26.78306
"848",30.6,32.490002,30.32,32.389999,5533800,28.24824
"849",34.5,35.73,34.299999,35.07,6030500,30.585541
"850",35,35.68,34.240002,35.110001,5968400,30.620422
"851",36.139999,37.299999,36,36.509998,6634900,31.841404
"852",36.700001,37,35.360001,36.02,4125700,31.414063
"853",35.5,36.279999,34.759998,36.200001,3766300,31.571043
"854",37.779999,38.310001,37.110001,37.619999,4840700,32.809471
"855",38.299999,38.490002,35.900002,37.599998,5428700,32.792023
"856",37.939999,38.209999,36.599998,37.279999,5023500,32.512947
"857",36.709999,37.34,35.630001,36.689999,9140400,31.998386
"858",36.57,38.189999,35.779999,38.139999,4395700,33.262974
"859",38.73,39.669998,38.049999,39.630001,4456100,34.562443
"860",39.639999,40.91,39.639999,40.580002,5557800,35.390972
"861",40.34,41.16,39.709999,40.709999,5622900,35.504345
"862",44.119999,47.119999,43.41,45.349998,8042600,39.551022
"863",47.080002,48.360001,46.459999,48.040001,6238900,41.897049
"864",45.970001,46.029999,44.209999,44.439999,5534400,38.757381
"865",43.630001,43.889999,41.98,41.98,5524000,36.61195
"866",36.639999,37.959999,34.169998,35.330002,14947900,30.812298
"867",33.639999,34.290001,32.41,34.09,31498500,29.730854
"868",32.5,36.98,32.27,36.439999,12268600,31.780355
"869",37.919998,38.740002,36.299999,38.400002,9837200,33.489731
"870",38.400002,38.779999,36.169998,36.169998,5267100,31.544886
"871",35.759998,36.990002,35.529999,36.349998,4244400,31.701868
"872",37.580002,37.91,35.080002,35.169998,14396300,30.672754
"873",35.029999,36.009998,34.380001,35.919998,5648100,31.326849
"874",36.709999,36.939999,35.330002,35.360001,5902600,30.838457
"875",34.900002,34.900002,31.65,32.299999,8752000,28.169748
"876",31.709999,33.43,31.559999,32.700001,6171300,28.518597
"877",32.43,32.560001,30.549999,30.809999,10206000,26.870275
"878",31.02,32.099998,30.549999,31.809999,4921700,27.742403
"879",31.379999,33.400002,31.200001,33.220001,4855100,28.972105
"880",33.279999,34.009998,32.119999,32.18,3741800,28.065092
"881",32.990002,33.470001,32,32.150002,3518700,28.038925
"882",32.950001,33.060001,27.879999,28.290001,15253000,24.672512
"883",27.75,28.75,27.040001,27.58,9019700,24.053301
"884",27.49,27.93,26.66,27.360001,7265100,23.861433
"885",27.5,27.5,25.84,26.15,6424300,22.806156
"886",26.049999,26.9,25.639999,26.719999,6004100,23.303267
"887",27.15,27.49,26.280001,26.59,6702000,23.189894
"888",26.370001,27.299999,26.18,27.219999,5843100,23.739334
"889",28.15,29.110001,28.040001,28.83,6842500,25.143459
"890",28.52,29.17,27.91,28.85,3999800,25.160904
"891",28.98,29.4,28.379999,28.67,3515900,25.003922
"892",28.620001,29.190001,28.18,28.25,2953500,24.637625
"893",28.82,30.370001,28.76,29.98,5350900,26.146408
"894",28.790001,29.559999,28.370001,29.5,4153800,25.727787
"895",29.940001,29.940001,28.379999,28.959999,6662200,25.256836
"896",29.049999,29.33,28.6,28.719999,3267200,25.047525
"897",28.66,28.870001,27.76,28.02,6858000,24.437038
"898",28,28.57,27.799999,28.059999,5688000,24.47192
"899",27.49,29.76,26.700001,29.719999,10764700,25.919655
"900",28.950001,29.48,28.57,29.040001,5774500,25.326609
"901",28.950001,28.950001,27.049999,27.91,7236200,25.150885
"902",27.709999,28.43,27.530001,28.120001,3838200,25.340128
"903",28.030001,29.43,27.99,29.190001,4397000,26.30435
"904",30.01,31.360001,29.290001,30.49,8123600,27.475834
"905",30.27,30.469999,29.040001,29.110001,5669800,26.232258
"906",28.76,29.559999,28.6,29.469999,3068900,26.556667
"907",29.690001,30.73,29.65,30.219999,3871100,27.232523
"908",30.99,31.209999,30.02,30.030001,5251900,27.06131
"909",30.65,31.08,29.690001,29.940001,5877300,26.980207
"910",29.76,29.969999,28.58,28.809999,4313200,25.961912
"911",28.82,29.950001,28.59,29.49,3175500,26.57469
"912",29.48,29.68,28.91,28.98,3152700,26.115107
"913",28.98,29.129999,27.969999,28.08,5420700,25.304079
"914",28.08,28.549999,27.74,27.860001,2736400,25.105827
"915",27.5,27.85,27.24,27.549999,2963900,24.826473
"916",27.35,27.35,26.48,26.879999,3851200,24.22271
"917",27,27.49,26.58,27.26,3545000,24.565144
"918",27.6,27.860001,26.51,27.26,4236900,24.565144
"919",27.23,27.34,26.459999,26.559999,4181000,23.934343
"920",26.620001,27.17,26.58,27.040001,3168600,24.366892
"921",27.629999,28.26,27.25,28.08,3353100,25.304079
"922",28.02,28.049999,27.27,27.48,3497100,24.763395
"923",27.25,27.52,26.860001,27.15,3243400,24.466019
"924",27.030001,27.67,26.9,27.309999,3003100,24.610201
"925",27.299999,27.85,26.57,26.91,3941100,24.249743
"926",27.120001,27.49,26.120001,26.76,3426100,24.114573
"927",26.34,26.49,25.530001,26.15,4448600,23.564875
"928",26.43,26.719999,26.129999,26.48,2850100,23.862251
"929",26.639999,26.84,26.01,26.030001,3190800,23.456738
"930",26.139999,26.549999,25.870001,26.34,3256800,23.736094
"931",26.58,27.620001,26.34,27.299999,4100000,24.601187
"932",27.35,27.639999,26.059999,26.290001,5131200,23.691036
"933",26.52,28.459999,26.459999,28.07,4638000,25.295067
"934",27.4,28.32,27.01,28.030001,4414200,25.259024
"935",27.77,27.870001,27.17,27.540001,8246000,24.817465
"936",26.42,26.940001,25.790001,26.440001,5262900,23.826206
"937",26.790001,27.370001,25.58,25.67,4608600,23.132328
"938",25.75,26.16,24.52,24.540001,4809000,22.114035
"939",24.65,24.99,23.280001,24.48,5503600,22.059969
"940",24.139999,25.08,24.110001,25.01,3508000,22.537571
"941",25.48,26.26,25.27,26.01,3967100,23.438715
"942",26.620001,26.9,26.219999,26.67,5829400,24.033468
"943",26.610001,27.27,25.889999,25.98,5967900,23.41168
"944",25.75,26.18,25.139999,25.27,3733000,22.77187
"945",24.629999,26.74,24.559999,26.530001,4413500,23.90731
"946",27.51,27.99,26.99,27.610001,3806600,24.880545
"947",28.200001,28.440001,26.559999,27.059999,4789600,24.384912
"948",27.18,27.950001,26.99,27.809999,3377800,25.06077
"949",28.08,29.440001,27.68,29.41,4541800,26.5026
"950",29.700001,29.77,28.93,29.049999,3762900,26.178186
