"","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
"604",286.600006,286.600006,281.029999,284.959991,345900,284.838013
"605",285.209991,289.970001,285.209991,286.440002,328400,286.317413
"606",287.040009,297.959991,279.029999,297.790009,477800,297.662537
"607",298.609985,303.890015,296.820007,301.76001,358800,301.630829
"608",304.779999,311.179993,302.890015,310.609985,381300,310.47702
"609",313.420013,315.679993,311.769989,312.269989,361500,312.136322
"610",313.359985,320.579987,312.5,319.940002,401100,319.80304
"611",320.720001,324.119995,320.25,321.950012,357100,321.812195
"612",325.230011,325.880005,321.929993,322.609985,374300,322.471924
"613",322.970001,325.25,320.880005,324.089996,288800,323.951263
"614",324.579987,329.109985,323.829987,328.119995,255400,327.979523
"615",329.880005,329.880005,322.880005,324.559998,394300,324.421051
"616",324.809998,325.390015,321.75,323.100006,261000,322.9617
"617",324,325.440002,322.269989,324.48999,171200,324.351044
"618",327.869995,329.200012,323.75,324.190002,209600,324.051208
"619",324.470001,332.339996,324.309998,331.51001,213200,331.368103
"620",331.160004,334.329987,325.059998,327.440002,331000,327.299805
"621",328.209991,329.609985,323.070007,328.869995,429500,328.729218
"622",328.980011,329.350006,324.790009,328.940002,229900,328.799194
"623",329.790009,334,329.109985,329.980011,258100,329.838745
"624",329.779999,331.040009,326.170013,328.429993,266500,328.289398
"625",329.640015,331.75,327.200012,331.570007,191500,331.42804
"626",331.529999,336.890015,330.26001,336.890015,588500,336.745789
"627",339.380005,340.859985,337.299988,340,342200,339.854462
"628",343.329987,343.329987,332.290009,332.790009,534900,332.647522
"629",334.269989,338.600006,331.200012,335.26001,235300,335.116516
