"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"520",200.160004,204.690002,199.740005,204.580002,254700,193.343872
"521",205.050003,208.449997,204.619995,206.449997,180500,195.11116
"522",207.940002,209.839996,203.940002,208.789993,229300,197.322632
"523",207.679993,208.979996,205.649994,206.449997,401200,195.11116
"524",207.690002,209.190002,205.149994,206.369995,371400,195.035538
"525",206.369995,211.389999,206.369995,211.330002,251400,199.723129
"526",211.240005,212.059998,208.809998,211.809998,218100,200.176773
"527",211.369995,212.520004,210.080002,211.070007,316900,199.477432
"528",209.970001,210.970001,207.720001,210.240005,253900,198.692993
"529",209.380005,210.339996,207.25,209.259995,311200,197.7668
"530",210.320007,211.600006,208.839996,210.550003,341500,198.985962
"531",212.149994,216.929993,211.979996,214.270004,260500,202.501678
"532",214.539993,216.940002,214.169998,215.990005,262000,204.127197
"533",206.75,218.800003,202.289993,214.479996,658300,202.700119
"534",216.529999,224.639999,216.529999,219.699997,480100,207.633408
"535",218.639999,219.210007,216.270004,218,334400,206.026794
"536",218.639999,221.419998,217.949997,220.830002,302000,208.701355
"537",220.130005,220.809998,215.820007,217.039993,214900,205.921448
"538",217.119995,218.580002,216.279999,217.110001,313600,205.987885
"539",218.660004,218.979996,213.039993,213.600006,490600,202.657684
"540",213.339996,215.149994,211.960007,212.029999,465900,201.168106
"541",211.669998,212.929993,209.470001,210.240005,260000,199.469803
"542",210.179993,213.139999,207,209.410004,534900,198.682327
"543",210.389999,211.539993,207.130005,210,434900,199.242096
"544",211.970001,212.389999,205.610001,206.369995,451200,195.79805
