"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"221",149.550003,149.839996,146.800003,148.929993,1631500,137.783173
"222",149.889999,150.169998,147.830002,148.399994,2014000,137.292831
"223",147.970001,148.850006,145.570007,145.869995,2055000,134.952194
"224",146.350006,147.190002,145.630005,146.220001,1703500,135.276047
"225",146.380005,147.300003,145.639999,146.589996,1925500,135.618332
"226",146.380005,146.869995,145,145.309998,1694700,134.434143
"227",145.759995,147.660004,145.419998,147.300003,887600,136.275177
"228",147.509995,149.309998,147.509995,148.229996,1489000,137.135574
"229",148.580002,149.479996,147.160004,148.639999,2373100,137.514877
"230",148.470001,148.789993,145.710007,146.300003,2197400,135.350052
"231",146.720001,147.089996,142.529999,143.929993,4200400,133.157394
"232",144.220001,145.149994,141.669998,143.610001,2009500,132.861374
"233",143.720001,144.389999,138.960007,138.970001,2238600,128.568665
"234",140.630005,141.320007,138.580002,140.759995,1734100,130.22467
"235",140.419998,142.330002,140.139999,141.800003,1113700,131.186844
"236",142.75,144.539993,141.5,144.110001,2174500,133.323929
"237",144.5,144.919998,142.270004,142.470001,1698500,131.806686
"238",144.190002,144.509995,141.460007,144.050003,2274700,133.268433
"239",144.160004,145.600006,143.169998,143.509995,1859300,132.76886
"240",143.479996,145.589996,143.479996,143.729996,1726400,132.972366
"241",143.740005,145.009995,143.580002,143.639999,2114700,132.889114
"242",143.789993,144.779999,141.940002,142.759995,3648600,132.074966
"243",143.649994,143.649994,142.009995,142.839996,2027600,132.149002
"244",143.009995,143.949997,141.75,141.860001,2284700,131.242325
"245",142,142.259995,140.020004,140.190002,2576500,129.697372
"246",140.25,141.210007,139.410004,139.610001,2580000,129.160751
"247",140.199997,141.089996,138.520004,140.660004,3069100,130.132111
"248",140.210007,141.770004,139.929993,140.910004,824500,130.363464
"249",140.610001,142.25,140.339996,141.559998,1014500,131.618622
"250",141.649994,143.320007,141.550003,142.910004,1784800,132.87381
"251",143.160004,143.509995,142.5,142.669998,1129500,132.650681
"252",143.160004,143.220001,140.910004,141.130005,1880600,131.218857
"253",141.050003,142.5,140.860001,141.679993,1770500,131.730179
"254",141.440002,141.960007,139.580002,139.610001,1729600,129.805588
"255",140.229996,140.699997,139.589996,140.509995,2119400,130.64238
"256",140.660004,143.240005,140.660004,142.009995,1882100,132.037048
"257",142.100006,142.25,140.860001,141.050003,1581600,131.14444
"258",140.410004,140.600006,136.029999,137.610001,3330500,127.94606
"259",138,138.009995,134.509995,134.970001,3244000,125.491432
"260",135.389999,135.5,132.539993,133,3197300,123.659775
"261",133.240005,138,133.240005,135.630005,3193900,126.105103
"262",136.119995,137.160004,135.550003,136.639999,1999700,127.044159
"263",136.580002,136.669998,134.720001,135.190002,3416400,125.696007
"264",135.899994,137.679993,134.75,137.619995,3284700,127.955322
"265",137.690002,139.240005,137.410004,139.240005,1826700,129.461563
"266",139.509995,141.440002,139.199997,141.199997,2923400,131.28392
"267",141.100006,142.679993,141.009995,141.759995,3061500,131.804565
"268",142.460007,143.059998,141.5,142.960007,2409500,132.920288
"269",143.139999,145.139999,142.839996,145.130005,2107900,134.937958
"270",144.899994,145.990005,143.679993,144.330002,3901700,134.194092
"271",143.880005,145.660004,142.839996,145.149994,2440000,134.956528
"272",145.410004,148.839996,145.240005,147.699997,3184700,137.327454
"273",148.020004,149.360001,146.539993,147.059998,2351000,136.732361
"274",146.440002,146.740005,144.229996,145.220001,2474600,135.021637
"275",144.139999,146.289993,141.770004,142.039993,3000900,132.064941
"276",140.279999,142.169998,137.630005,140.169998,3817000,130.326263
"277",139.850006,142.330002,139.240005,140,2245900,130.168213
"278",139.880005,140.929993,133.460007,133.570007,3890100,124.189758
"279",134.350006,136.929993,130.369995,136.050003,3977300,126.495605
"280",136.990005,137.229996,133.830002,136.229996,3821000,126.662949
"281",136.029999,136.919998,134.860001,136.309998,3710300,126.73732
"282",135.029999,135.899994,132.619995,135.479996,4829300,125.965652
"283",135.559998,136.929993,133.039993,136.220001,3223300,126.653648
"284",135.860001,141.050003,135.800003,140.020004,3024700,130.186798
"285",139.160004,140.699997,138.669998,139.240005,2220500,129.461563
"286",139.429993,140.25,137.339996,137.440002,2811400,127.787979
"287",137.960007,140.479996,137.229996,138.979996,3075900,129.219818
"288",139.600006,141.869995,138.869995,141.869995,1925000,131.90686
"289",142.139999,142.949997,142.080002,142.740005,2214100,132.715759
"290",142.720001,142.990005,135.809998,140.699997,4572500,130.819046
"291",141.309998,141.619995,139.309998,139.330002,4015600,129.545242
"292",139,139.619995,134.910004,135.369995,3178000,125.863327
