"","MRNA.Open","MRNA.High","MRNA.Low","MRNA.Close","MRNA.Volume","MRNA.Adjusted"
"439",65.650002,69.349998,64.300003,64.839996,14307300,64.839996
"440",64.989998,65,59.009998,62.599998,11653300,62.599998
"441",57.75,58.599998,54.209999,54.34,17706200,54.34
"442",56.029999,57.189999,54.509998,56.900002,9355400,56.900002
"443",57.041,60.32,56.869999,57.560001,7985300,57.560001
"444",58.490002,59.509998,57.450001,59.34,4821900,59.34
"445",60.150002,63.849998,60.115002,63.669998,8930800,63.669998
"446",65.027,68.410004,64.228996,66.879997,9101200,66.879997
"447",67.639999,70.040001,66.730003,68.839996,11345200,68.839996
"448",68.5,70.900002,64.599998,67.889999,13275200,67.889999
"449",68.279999,70,66.099998,69.870003,13206200,69.870003
"450",68.599998,69.480003,65.459999,69.260002,8223000,69.260002
"451",67.5,69.190002,66.669998,68.720001,6303600,68.720001
"452",67.864998,68.620003,65.769997,67.160004,6919400,67.160004
"453",65.5,66.769997,63.639999,65.169998,5565200,65.169998
"454",65.887001,69.730003,65.669998,69.470001,9190600,69.470001
"455",69.589996,71.5,69.099998,70.550003,7337400,70.550003
"456",70.459999,71.339996,69.584999,70.519997,6027600,70.519997
"457",72.510002,75.389999,70.160004,70.75,15690700,70.75
"458",69.57,70.199997,68.160004,70.029999,6839000,70.029999
"459",67.900002,72.769997,67.25,68.809998,8004900,68.809998
"460",69.639999,72.019997,69.050003,71.949997,6518100,71.949997
"461",72,73.919998,70.309998,71.040001,7285500,71.040001
"462",71.230003,73.239998,70.959,72.370003,4190600,72.370003
"463",73.5,73.760002,72.010002,72.93,4023800,72.93
"464",73.419998,73.669998,72.389999,73,4774000,73
"465",73.610001,75.850998,72.919998,75.309998,7590800,75.309998
"466",75.93,81.370003,75.519997,78.290001,13669200,78.290001
"467",80.010002,80.010002,76.324997,76.559998,6634600,76.559998
"468",75.480003,76.489998,73.709999,75.580002,5009100,75.580002
"469",76.059998,76.93,73.665001,73.940002,4693600,73.940002
"470",73.970001,74.089996,70.5,70.959999,6931300,70.959999
"471",72.07,73.099998,70.650002,71.309998,5441300,71.309998
"472",71.57,71.578003,68.059998,68.370003,4614800,68.370003
"473",68.503998,72.529999,68.400002,70.839996,5212100,70.839996
"474",72.300003,72.400002,68.800003,70.529999,3735100,70.529999
"475",70.360001,71.32,68.699997,70.239998,3872800,70.239998
"476",70.449997,71.349998,68.809998,70.669998,3812900,70.669998
