"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"859",94.849998,98.739998,94.309998,98.660004,2078000,96.375259
"860",99.080002,99.989998,98.650002,99.489998,1168000,97.18602
"861",98.650002,99.989998,98.199997,99.449997,1473400,97.146965
"862",99.57,102.209999,98.510002,98.970001,1474000,96.67807
"863",97.989998,102.989998,97.760002,102.300003,1357100,99.930962
"864",101,101.599998,99.550003,99.900002,953600,97.586525
"865",100.379997,100.580002,96.93,96.949997,905000,94.704849
"866",95.790001,95.790001,92.57,93.510002,1305200,91.344513
"867",95.480003,95.639999,92.620003,94.870003,1545600,92.673019
"868",93.440002,96.510002,92.900002,96.209999,1151000,93.981995
"869",98.489998,99.519997,96.629997,99.110001,1157300,96.814819
"870",99.519997,100.480003,98.620003,100.150002,1166200,97.830742
"871",99.68,100.830002,98.739998,100.25,856400,97.928429
"872",101.739998,103.370003,101.050003,102.150002,1739700,99.784431
"873",101.790001,101.860001,100.129997,101.730003,936400,99.374153
"874",102.269997,102.800003,100.849998,101.5,2404400,99.149483
"875",100.739998,101.459999,98,98.839996,1394400,96.551071
"876",98.540001,100.879997,98.480003,100.669998,985000,98.338699
"877",100.470001,100.949997,98.199997,99.18,2830100,96.883209
"878",99.610001,100.620003,98.43,98.989998,1103100,96.697609
"879",98.699997,101.199997,98.57,100.769997,1036400,98.436386
"880",100.949997,101.470001,99.129997,99.449997,1001100,97.146965
"881",100.199997,101.620003,99.720001,100.089996,734000,97.772125
"882",100.910004,101.459999,99.910004,100.720001,975100,98.387535
"883",99.910004,100.43,97.910004,98.300003,1022100,96.02359
"884",98.349998,98.760002,95.900002,97.209999,934600,94.958824
"885",97.209999,97.269997,94.760002,96.389999,758400,94.157814
"886",95.980003,97.580002,95.480003,97.050003,816800,94.802528
"887",97.279999,98.830002,97.059998,97.269997,1198500,95.017441
"888",96.849998,99.470001,96.849998,99.330002,781500,97.029739
"889",100.43,102.419998,99.010002,101.900002,1087500,99.540215
"890",101.82,103.330002,101.050003,102.739998,955500,100.360764
"891",103.309998,105.080002,102.790001,104.449997,2771300,102.031166
"892",104.400002,104.870003,101.68,102.190002,739500,99.823502
"893",102.269997,104.25,102.209999,104.150002,1126000,101.738106
"894",103.849998,104.300003,102.620003,103.809998,715300,101.405991
"895",103.760002,104.93,103.629997,104.029999,635200,101.620888
"896",104.419998,104.879997,103.410004,103.760002,668500,101.357155
"897",103.379997,104.370003,102.540001,104,564600,101.591591
"898",104,104.540001,101.93,102.110001,670200,99.745361
"899",102.599998,103.82,101.300003,103.309998,623000,100.917572
"900",102.169998,102.489998,101.110001,102.169998,645700,99.803963
"901",102.010002,102.019997,98.690002,100.190002,844600,97.86982
"902",100.809998,104.860001,100.809998,104.480003,1202400,102.060478
"903",104,105.209999,102.980003,104.699997,1123000,102.275375
"904",104,106.449997,103.110001,103.5,1448700,101.103165
"905",103.709999,103.809998,100.949997,101.610001,831100,99.256935
"906",101.25,102.199997,100.529999,102.099998,739600,99.73558
"907",102.260002,103.739998,101.650002,103.040001,745100,100.653824
"908",103.449997,103.900002,101.059998,101.379997,788500,99.032249
"909",101.849998,104.099998,101.849998,103.550003,629900,101.152016
"910",103.110001,103.110001,101.349998,102.730003,554900,100.350998
"911",101.940002,104.25,101.599998,103.75,684600,101.76342
"912",104.209999,104.279999,103.099998,103.419998,531800,101.439743
"913",104,104.400002,102.419998,102.839996,763700,100.87085
"914",102.5,103.010002,101.629997,101.709999,512300,99.762482
"915",101.720001,102.199997,99.040001,99.040001,998400,97.143616
"916",99,99.019997,97.169998,98.150002,1041200,96.270653
"917",99.309998,99.309998,96.269997,97.57,867400,95.701759
"918",97.93,98.279999,97.019997,98.279999,811200,96.398155
"919",97.919998,98.010002,96.309998,97.660004,776000,95.790039
"920",97.720001,98.970001,96.330002,98.129997,651100,96.25103
"921",98,98.559998,97.239998,97.550003,687600,95.682144
