"","XYL.Open","XYL.High","XYL.Low","XYL.Close","XYL.Volume","XYL.Adjusted"
"665",75.139999,75.93,73.349998,73.739998,1039900,71.808853
"666",74.370003,74.400002,73.349998,74.059998,504500,72.120476
"667",74.699997,74.830002,74.019997,74.279999,583200,72.334717
"668",74.059998,75.120003,73.599998,74.989998,352800,73.26284
"669",76,76.989998,75.660004,76.389999,850400,74.630592
"670",77.169998,77.370003,76.230003,76.610001,637500,74.845528
"671",75.839996,76.25,74.080002,74.639999,700100,72.920898
"672",75.379997,75.989998,74.730003,75.309998,741000,73.57547
"673",76.07,78.07,76.07,77.75,525300,75.959259
"674",78.279999,79.160004,78.050003,78.389999,701000,76.584526
"675",78.599998,78.599998,76.279999,77.5,677300,75.715034
"676",77.470001,78.349998,76.919998,78.349998,714800,76.545448
"677",78.550003,79.290001,78.129997,79.290001,958400,77.463806
"678",79.260002,79.449997,77.870003,78.07,766600,76.271904
"679",78.470001,79.370003,78.050003,78.669998,759900,76.858078
"680",78.220001,78.440002,77.290001,78.059998,583800,76.262131
"681",78.029999,78.459999,77.720001,78.330002,643300,76.525917
"682",78.019997,78.449997,77.559998,78.389999,763900,76.584526
"683",78.300003,79.110001,77.870003,77.949997,519400,76.154671
"684",78.349998,78.550003,77.300003,77.480003,1440500,75.695496
"685",77.019997,77.93,76.809998,77.540001,458100,75.754105
"686",77.970001,78.589996,76.529999,76.860001,901000,75.089767
"687",76.809998,78.68,76.709999,78.559998,605000,76.75061
"688",78.660004,79.889999,78.559998,79.330002,863100,77.502876
"689",79.93,80.43,79.309998,80.129997,881900,78.284447
"690",80.339996,80.470001,79.580002,79.620003,748000,77.786201
"691",80.089996,80.379997,76.370003,76.830002,850600,75.060471
"692",75.699997,75.970001,74.529999,74.610001,958700,72.891579
"693",74.279999,75.139999,72.870003,75.120003,937900,73.389832
"694",75.220001,76.059998,74.970001,75.970001,466700,74.220276
"695",75.660004,76.410004,75.419998,75.57,655800,73.829483
"696",74.629997,74.730003,73.309998,73.43,727700,71.73877
"697",74.25,74.910004,73.620003,74.57,512200,72.852501
"698",74.580002,76.239998,74.330002,75.43,762200,73.692711
"699",76.529999,78.760002,76.370003,77.629997,667400,75.842033
"700",77.330002,77.809998,76.940002,77.010002,560600,75.236305
"701",77.379997,78.830002,77.169998,78.019997,555700,76.223061
"702",77.739998,78.610001,77.410004,78.18,857200,76.379379
"703",78.639999,79.470001,78.529999,78.809998,624300,76.99485
"704",78.860001,79.919998,78.209999,79.779999,976700,77.942505
"705",80.260002,81.029999,79.910004,81.010002,810800,79.144188
"706",80.839996,81.800003,80.550003,81.269997,734700,79.398201
"707",81.260002,81.970001,81.120003,81.599998,841100,79.720589
"708",81.900002,83.150002,80.93,81.980003,736300,80.09185
"709",82.459999,83.529999,82.120003,83.300003,713800,81.381447
"710",83.5,85.669998,83.5,84.029999,753300,82.094643
"711",83.440002,85.040001,83.25,84.769997,735700,82.817574
"712",83.970001,84.419998,83.129997,84.059998,966700,82.357109
"713",80,80.410004,76.150002,76.690002,2106700,75.136421
"714",77.480003,79.410004,76.480003,79.120003,2921300,77.517174
"715",79.239998,79.529999,78.260002,78.650002,1132800,77.056702
"716",78.540001,79.690002,78.440002,79.669998,1297800,78.05603
"717",79.269997,79.589996,77.230003,78.199997,962900,76.615814
"718",78.949997,79,77.07,77.32,794500,75.753647
"719",77.18,78.699997,77.029999,77.330002,960000,75.763435
"720",76.57,76.800003,75.239998,75.809998,913600,74.274223
"721",75.779999,77.330002,75.720001,76.639999,904900,75.087418
"722",76.580002,76.599998,75.370003,75.769997,905100,74.235039
"723",76.010002,77.190002,75.769997,76.510002,874800,74.960052
"724",77.150002,78.160004,77,77.550003,809700,75.978989
"725",77.290001,77.760002,76.980003,77.309998,702800,75.743851
"726",77.599998,78.019997,76.910004,78,880700,76.419876
"727",77.620003,78.010002,76.720001,77.470001,999700,75.900597
"728",77.610001,77.959999,77.190002,77.43,718300,75.861404
"729",77.959999,78.050003,76.669998,76.889999,1082300,75.332367
"730",77.050003,77.089996,76.449997,76.589996,1313500,75.038437
"731",76.519997,77.220001,76.239998,77.150002,2154500,75.58709
"732",77.349998,77.720001,76.989998,77.610001,794700,76.037766
"733",77.389999,77.93,77.18,77.510002,624200,75.939796
"734",77.459999,78.690002,76.550003,76.550003,920100,74.99926
"735",75.629997,75.940002,75.050003,75.540001,8e+05,74.009712
"736",76,77.379997,75.279999,75.379997,1023400,73.852936
"737",74,74.940002,73.879997,74.910004,1273200,73.392456
"738",76.07,76.669998,75.239998,75.32,981300,73.794159
"739",74.949997,75.459999,74.290001,75.400002,1082000,73.872543
"740",76.769997,76.919998,75.379997,75.809998,911400,74.274223
"741",76,76.860001,75.650002,76.830002,665600,75.273582
"742",76.870003,77.940002,76.459999,77.660004,760900,76.086761
"743",77.349998,78.330002,77.099998,77.720001,738300,76.145538
"744",78.379997,78.68,77.139999,77.279999,664900,75.714455
"745",77.550003,78.459999,77.029999,77.980003,942200,76.400276
"746",78.099998,78.419998,77.650002,77.910004,921500,76.331703
"747",78.010002,78.150002,76.769997,77.589996,830100,76.018173
"748",78.879997,79,77.620003,78.610001,1969200,77.017509
"749",78.839996,78.970001,78.089996,78.949997,663600,77.350616
"750",79,79.459999,78.440002,78.639999,184600,77.046913
"751",78.639999,79,77.959999,78.599998,427500,77.007713
"752",78.879997,79.129997,78.57,78.839996,346700,77.242851
"753",78.889999,79.209999,78.629997,78.739998,523800,77.144875
"754",78.870003,79.120003,78.239998,78.790001,492000,77.193871
"755",79.160004,79.949997,78.760002,79.849998,869500,78.232384
"756",79.029999,80.349998,78.699997,80.32,795100,78.692871
"757",79.860001,79.940002,78.910004,79.800003,817300,78.183418
"758",79.910004,79.910004,79.019997,79.5,662200,77.889488
"759",79.660004,80.360001,79.190002,79.769997,1083200,78.154015
