"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"677",159.270004,160.460007,156,157.869995,2704700,140.55455
"678",158.25,158.259995,154.110001,155.270004,2739600,138.239746
"679",156.210007,157.320007,153.720001,153.929993,1481700,137.046692
"680",153.589996,154.490005,152.830002,154.389999,1303600,137.456253
"681",154.679993,154.690002,152.440002,154.169998,989800,137.260376
"682",155,156.520004,154.080002,155.820007,1254000,138.729401
"683",156.070007,156.5,154.570007,154.619995,982400,137.660995
"684",155.580002,157.869995,155.009995,155.039993,2128200,138.034958
"685",152.419998,156.339996,151.110001,154.949997,1285900,137.954803
"686",154.770004,155.380005,152.729996,154,1110500,137.109024
"687",154.399994,155.460007,153.639999,153.759995,979400,136.89537
"688",154.320007,155.669998,153.759995,155.619995,945000,138.551331
"689",155.970001,158,155.800003,157.960007,1355000,140.634705
"690",157.679993,158.240005,155.520004,155.649994,1255600,138.578049
"691",155.910004,156.899994,151.690002,152.360001,1666000,135.648911
"692",152.279999,152.279999,148.559998,149.169998,2144500,132.808792
"693",149.25,149.809998,147.460007,147.5,1993300,131.321945
"694",148.039993,149,146.800003,148,2070300,131.767105
"695",148.009995,149.080002,147.830002,148.220001,1510400,131.962967
"696",147.809998,147.850006,145.509995,145.869995,1605700,129.870712
"697",146.699997,147.029999,145.279999,145.979996,1209400,129.968674
"698",146.199997,147.649994,145.759995,147.190002,1549700,131.045944
"699",147.710007,151.100006,147.300003,148.600006,1295800,132.3013
"700",148.350006,148.820007,146.369995,148.649994,1103200,132.345795
"701",148.570007,149.229996,147.690002,148.889999,1072200,132.559509
"702",148.800003,149.789993,147.820007,148.720001,911600,132.408142
"703",148.619995,149.369995,148.360001,148.809998,902600,132.488266
"704",148.899994,150.350006,147.610001,149.919998,1271100,133.476532
"705",150.320007,153.259995,150.279999,153.169998,1417800,136.370041
"706",153.169998,154.600006,151.770004,154.509995,1211600,137.56311
"707",155,156.300003,154.029999,154.690002,1227100,137.723343
"708",154.690002,154.830002,151.800003,154.440002,1176700,137.500778
"709",154.410004,155.75,153.449997,155.559998,1171000,138.497925
"710",155.130005,155.639999,152.729996,153.839996,1068200,136.966568
"711",153.619995,155.199997,152.339996,152.869995,1313500,136.102951
