"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"144",67.900002,68.419998,67.68,68.18,1378000,57.983501
"145",68.480003,69.010002,68.199997,68.449997,1144000,58.213116
"146",68.690002,68.690002,66.5,67.040001,2268700,57.014004
"147",66.660004,67.480003,66.440002,67.440002,1757300,57.354179
"148",67.580002,68.349998,67.279999,67.610001,1608000,57.49876
"149",67.849998,68.760002,67.830002,68.580002,1535800,58.323685
"150",68.470001,68.889999,68.190002,68.550003,1159600,58.298168
"151",68.330002,69.040001,67.809998,67.900002,1422400,57.745388
"152",67.75,68,67.029999,67.209999,1572800,57.158569
"153",66.529999,66.900002,65.169998,65.209999,2402900,55.457664
"154",65.459999,65.459999,64.760002,64.809998,1497800,55.117496
"155",65.150002,65.519997,64.830002,65.209999,1666500,55.672421
"156",65.459999,65.589996,64.660004,64.870003,1313900,55.382164
"157",65.099998,65.360001,64.339996,64.43,1015600,55.006508
"158",64.160004,64.160004,63.009998,63.150002,1727400,53.913723
"159",63,63.25,62.790001,63,1977900,53.78566
"160",63.029999,63.59,62.720001,63.25,1178300,53.999096
"161",63.529999,64.5,63.299999,64.449997,1633700,55.023582
"162",64.040001,64.290001,63.82,64.010002,1098400,54.647934
"163",64.099998,64.290001,63.73,63.82,1215400,54.485737
"164",64.209999,64.540001,63.860001,64.010002,954400,54.647934
"165",64.449997,64.720001,64.160004,64.400002,1119700,54.9809
"166",64.199997,65.239998,64.129997,65.160004,1671800,55.629761
"167",65.110001,66.110001,64.760002,66.080002,1403000,56.415188
"168",66.339996,66.529999,66,66.330002,1163500,56.628624
"169",66.550003,66.550003,65.849998,65.860001,962700,56.227364
"170",65.809998,65.839996,64.949997,65.290001,1569400,55.74073
"171",65.57,65.980003,65.080002,65.239998,2373600,55.698036
"172",65.519997,66.910004,65.309998,66.830002,2341900,57.055492
"173",66.75,67.82,66.370003,67.599998,1670100,57.712879
"174",67.839996,68.099998,67.470001,67.699997,1430700,57.798241
"175",67.720001,68.839996,67.580002,68.739998,1349600,58.686131
"176",68.580002,69.190002,68.410004,69.120003,1186700,59.010555
"177",68.75,69.480003,68.730003,69.220001,1306800,59.095936
"178",69.239998,69.980003,68.720001,69.919998,2148000,59.693535
"179",70,71.360001,69.879997,70.860001,2210800,60.496067
"180",70.669998,71.010002,70.309998,70.900002,1350600,60.530228
"181",70.510002,71.279999,70.400002,70.839996,1732400,60.478985
"182",71,71.370003,70.68,70.709999,1215000,60.368004
"183",70.480003,71.5,70.480003,71.419998,1138000,60.974163
"184",71.370003,72.220001,71.239998,72.050003,1802900,61.512024
"185",72.269997,72.410004,71.800003,71.870003,997800,61.358349
"186",71.989998,73.290001,71.980003,72.690002,1751600,62.058418
"187",71.93,72.650002,71.5,72.370003,1120300,61.785233
"188",72.5,73.010002,72.239998,72.339996,1143300,61.759586
"189",72.239998,72.980003,72.169998,72.919998,969300,62.254776
"190",73.25,74.190002,72.93,73.760002,1786300,62.971912
"191",74.25,74.660004,73.529999,74.360001,2111000,63.484165
"192",74.699997,74.790001,73.68,74.730003,1664600,63.80003
"193",74.120003,74.209999,72.919998,73.279999,3993700,62.562103
"194",73.5,73.730003,72.860001,73.300003,2041700,62.579182
"195",73.559998,73.589996,73.07,73.419998,1655900,62.681644
"196",72.879997,73.32,72.620003,72.860001,1866600,62.203537
"197",72.559998,73.25,72.339996,72.93,2732000,62.263317
"198",73.019997,73.169998,72.57,72.690002,2620700,62.058418
"199",72.900002,72.919998,72.419998,72.709999,3034200,62.075497
"200",72.699997,73,72.480003,72.699997,1918900,62.066944
"201",72.669998,72.849998,72.489998,72.599998,2842500,61.981575
"202",72.489998,73.800003,72.25,73.769997,2678100,62.980446
"203",74.169998,75.129997,73.900002,74.919998,2191700,63.962257
"204",75,75.68,74.540001,74.650002,2596200,63.731739
"205",73.800003,74.199997,68.860001,70.379997,7505300,60.086266
"206",69.900002,70.889999,69.43,70.230003,3705600,59.958214
"207",70.790001,72.370003,70.480003,72.080002,3563600,61.537632
"208",71.169998,71.970001,71.010002,71.870003,2364700,61.358349
"209",71.370003,71.400002,70.110001,70.449997,2082800,60.146023
"210",70.650002,72.199997,70.580002,71.730003,2760800,61.238815
"211",72.370003,72.480003,70.580002,70.980003,2085700,60.598522
"212",70.870003,72.239998,70.43,71.959999,2193300,61.435192
"213",71.839996,72.120003,70.769997,71.32,2312600,60.888779
