"","WST.Open","WST.High","WST.Low","WST.Close","WST.Volume","WST.Adjusted"
"801",143.139999,144.440002,136.649994,143.539993,571800,142.950912
"802",140.089996,149.5,139.440002,147.830002,1013700,147.223297
"803",140.509995,147.039993,139.369995,142.759995,1054200,142.174088
"804",146.990005,148.800003,136.050003,146.110001,930800,145.510376
"805",137.089996,139.929993,129.869995,130.470001,971800,129.93454
"806",132.839996,145.130005,129.550003,143.089996,891200,142.502747
"807",135.470001,151.630005,130.509995,143.490005,823100,142.901108
"808",143.490005,146.410004,135.110001,139.279999,683900,138.708389
"809",137.559998,139.490005,130.039993,130.649994,709600,130.113785
"810",130.449997,132.619995,124.529999,128.960007,555400,128.430725
"811",134.110001,140.850006,132,135.479996,623400,134.923981
"812",135.970001,139.990005,132.020004,135.309998,483100,134.754654
"813",136.429993,146.429993,136.429993,146.429993,671400,145.829025
"814",142.789993,146.389999,138.660004,141.080002,546600,140.500992
"815",143.729996,152.479996,143.660004,151.809998,445100,151.186951
"816",153.020004,159.830002,151.669998,152.25,555600,151.625183
"817",149.270004,153.320007,145.779999,149.800003,481000,149.185226
"818",149,156.559998,148.149994,155.679993,495200,155.041077
"819",154.279999,156.419998,149.729996,151.350006,604600,150.728821
"820",156,162,153.990005,161.300003,351500,160.638016
"821",165.839996,167.830002,157.029999,158.139999,535800,157.490997
"822",157.820007,164.800003,154.399994,164.789993,401300,164.113678
"823",164.789993,166.389999,159.100006,162.929993,380400,162.261292
"824",160.759995,162.460007,156.919998,159.880005,336000,159.223846
"825",164,167.809998,161.529999,167.089996,355600,166.404266
"826",164.139999,168.820007,163.759995,165.009995,389400,164.332764
"827",166.190002,168.660004,165.229996,167.580002,363400,166.892258
"828",170.259995,170.990005,168.089996,169.979996,408500,169.282364
"829",168.759995,172.520004,167.850006,170.369995,318400,169.670776
"830",167.720001,169.119995,163.789993,165.199997,359500,164.676651
"831",167.509995,170.929993,163.830002,170.119995,751500,169.58107
"832",179.050003,190.270004,177.130005,187.419998,1013600,186.826279
"833",190,196.25,188.610001,195.539993,885000,194.920532
"834",195.860001,198.610001,194.149994,197.839996,456000,197.213242
"835",199.990005,201.789993,192.550003,193.020004,335300,192.408539
"836",193.179993,195.490005,189.009995,189.600006,516800,188.999359
"837",188.070007,192.940002,187.100006,189.259995,682400,188.660416
"838",187.639999,191.779999,185.089996,191.639999,352500,191.032898
"839",191.110001,191.110001,186.820007,188.320007,397200,187.723434
"840",190.169998,196.889999,189.940002,194.800003,426600,194.182877
"841",195.300003,199.490005,194.149994,197.020004,362300,196.395874
"842",197.990005,198.880005,195.410004,197.970001,413400,197.342834
"843",199.75,203.449997,197.889999,200.009995,387900,199.376358
"844",198.800003,210.979996,198.139999,210.25,785800,209.583954
"845",212,213.789993,205.630005,205.669998,505900,205.018463
