"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"584",170.589996,171.203339,169.496674,170.210007,2109900,170.210007
"585",170.536667,170.666672,165.509995,165.683334,2823300,165.683334
"586",165.486664,168.703339,165.333328,167.369995,2431500,167.369995
"587",168.823334,169.766663,168.110001,169.313339,1387200,169.313339
"588",165.713333,169.630005,165.563339,169.493332,2269800,169.493332
"589",167.600006,168.333328,163.073334,163.770004,3519000,163.770004
"590",163.770004,166.666672,161.016663,165.233337,2474700,165.233337
"591",163.509995,165.713333,161.666672,165.353333,2092500,165.353333
"592",164.496674,166.066666,160.860001,165.103333,2018700,165.103333
"593",160.83667,161.970001,158.866669,159.583328,2781600,159.583328
"594",160.603333,164.229996,160.603333,162.449997,1687800,162.449997
"595",161.800003,163.929993,161.220001,163.046661,1300800,163.046661
"596",163.300003,166.596664,163.166672,163.910004,1792200,163.910004
"597",163.039993,165.613327,161.676666,163.380005,1394400,163.380005
"598",162.21666,162.800003,160.043335,161.073334,1923900,161.073334
"599",162.543335,164.333328,160.956665,161.186661,1725300,161.186661
"600",161.006668,163.266663,160.196671,161.789993,1555800,161.789993
"601",160.83667,160.850006,155.880005,157.926666,3433800,157.926666
"602",158.463333,159.633331,157.210007,158.843338,2324400,158.843338
"603",158.449997,161.229996,156.990005,157.073334,2719200,157.073334
"604",156.433334,158.210007,155.779999,157.309998,2087100,157.309998
"605",157.566666,160.25,157.316666,159.073334,1434900,159.073334
"606",156.186661,157.16333,154.313339,154.949997,2552700,154.949997
"607",154.279999,156,151.71666,152.756668,3469200,152.756668
"608",154.600006,158.259995,154.160004,158.143326,2300700,158.143326
"609",159.789993,161.92334,159.179993,161.686661,3245700,161.686661
"610",161.686661,162.936661,160.153336,161.746674,1766400,161.746674
"611",162.153336,166.626663,161.786667,166.346664,2533800,166.346664
"612",166.866669,172.023331,166.866669,169.906662,4415100,169.906662
"613",170.906662,172.17334,167.526672,168.853333,2270700,168.853333
"614",168.593338,169.949997,166.57666,167.306671,1712400,167.306671
"615",167.963333,169.253326,166.96666,168.53334,1296000,168.53334
"616",167.493332,168.333328,163.666672,165.513336,1925100,165.513336
"617",166.166672,169.113327,166,169.050003,1840800,169.050003
