"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"224",93.300003,93.809998,93.029999,93.68,1281400,91.895622
"225",94,94.220001,93.75,94.18,1577700,92.386101
"226",94.199997,94.239998,93.309998,93.760002,1580200,91.974106
"227",94.010002,94.18,93.610001,94.019997,896600,92.229156
"228",94.190002,94.279999,93.830002,94.050003,1398400,92.258568
"229",94.18,94.660004,93.879997,94.32,2740200,92.523445
"230",94.449997,94.459999,93.440002,93.940002,1989800,92.150673
"231",94.25,94.82,93.839996,94.360001,2186200,92.562668
"232",94.489998,94.529999,92.82,93.82,2311100,92.032944
"233",94.209999,94.489998,92.620003,92.82,2773400,91.052017
"234",93.18,93.230003,92.57,92.739998,2376900,90.973518
"235",92.849998,92.949997,92.160004,92.529999,2038400,90.76754
"236",92.529999,93.169998,92.040001,92.68,1787800,90.91468
"237",92.93,93.360001,92.690002,93.18,1538100,91.405136
"238",93.080002,93.269997,92.589996,93.209999,1813900,91.434578
"239",93.32,93.949997,93.019997,93.720001,2153400,91.93486
"240",93.800003,94.360001,93.610001,94.150002,2377200,92.356689
"241",94.379997,94.379997,92.519997,92.849998,2869900,91.081444
"242",93.230003,94.339996,93.230003,94,5071100,92.209526
"243",94.239998,94.839996,94.089996,94.360001,2960700,92.562668
"244",94.440002,94.739998,94.050003,94.379997,1878300,92.582298
"245",94.470001,95.160004,94.339996,94.620003,2979700,92.817726
"246",94.720001,95.010002,93.769997,93.82,2193200,92.032944
"247",93.730003,94.07,93.410004,93.459999,2613000,91.67981
"248",93.32,93.769997,93.25,93.32,592800,91.54248
"249",93.169998,93.739998,92.800003,93.559998,1053000,91.777908
"250",93.650002,93.790001,93.080002,93.559998,750900,91.915443
"251",93.919998,94.029999,92.800003,92.82,1844800,91.188454
"252",93.18,93.489998,92.18,92.440002,3623800,90.81514
"253",92.239998,93.910004,92.220001,93.669998,2474500,92.023521
"254",94.120003,94.910004,94.019997,94.120003,2125200,92.465607
"255",94.510002,94.989998,94.339996,94.709999,1880700,93.045227
"256",94.620003,95.309998,94.290001,95.25,1807200,93.575745
"257",96.519997,98.879997,96.519997,98.610001,4359200,96.876678
"258",98.019997,98.540001,97.220001,98.239998,2464600,96.513191
"259",98.489998,98.699997,97.779999,98.589996,2026100,96.85704
"260",98.639999,99.660004,98.629997,99.389999,1894500,97.642975
"261",99.879997,100.269997,99.139999,99.470001,2226800,97.721565
"262",100.050003,100.18,99.080002,99.589996,2542400,97.839455
"263",99.540001,100.07,99.110001,99.739998,1316600,97.986816
"264",100.199997,100.879997,100.040001,100.559998,2872600,98.792397
"265",100.480003,100.709999,99.669998,99.970001,2163200,98.212776
"266",100.169998,100.370003,99.690002,99.949997,2383500,98.19313
"267",100.300003,101.699997,100.080002,101.379997,2223600,99.598
"268",101.75,103.010002,101.43,102.699997,2134000,100.894791
"269",102.980003,103.82,102.779999,103.800003,2433400,101.975464
"270",103.610001,104.220001,103.300003,103.690002,2580500,101.867393
"271",102.639999,104.82,101.129997,101.599998,3888500,99.814125
"272",101.910004,102.57,100.849998,101.279999,3308900,99.499756
