"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"327",51.619999,51.849998,51.02,51.169998,11669100,45.885525
"328",51.25,51.529999,50.66,50.900002,10409600,45.643414
"329",51.02,51.98,50.720001,51.580002,12137800,46.253197
"330",51.48,51.869999,50.560001,51.759998,14309600,46.414589
"331",51.529999,52.759998,50.560001,52.040001,14220700,46.665676
"332",52.330002,52.869999,52.009998,52.27,7201800,46.871933
"333",52.669998,52.68,51.830002,52.130001,11437500,46.746387
"334",51.98,52.740002,51.619999,52.689999,9821900,47.24855
"335",52.360001,52.400002,51.279999,51.5,8252000,46.18145
"336",51.599998,51.849998,50.759998,51.450001,8177500,46.136604
"337",51.16,51.5,50.669998,51.330002,6149500,46.029011
"338",51.32,51.68,51.040001,51.32,6800600,46.020035
"339",51.200001,51.200001,49.959999,50.529999,12207200,45.311634
"340",50.509998,51.209999,50.349998,51.09,11587300,45.813789
"341",51.330002,51.709999,51,51.150002,9126100,45.867596
"342",51.380001,52.110001,51.049999,51.860001,8987700,46.504276
"343",51.939999,52.599998,51.700001,52.02,8716900,46.647751
"344",51.950001,52.34,51.709999,52.299999,8133100,46.898834
"345",52.450001,52.619999,52.119999,52.209999,5417400,46.818123
"346",52.049999,53.400002,51.959999,52.740002,8097400,47.293392
"347",52.880001,53.150002,52.43,52.709999,6440100,47.266479
"348",52.07,52.759998,51.919998,52.240002,5440800,46.845028
"349",52.279999,52.82,52.200001,52.34,3782800,46.934704
"350",52.34,52.630001,52.110001,52.5,5962200,47.078175
"351",52.540001,52.75,52.119999,52.689999,4930400,47.24855
"352",52.810001,53,52.540001,52.77,3735500,47.320297
"353",52.369999,52.619999,51.77,52.27,7711400,46.871933
"354",52.48,53.450001,52.48,53.02,6455700,47.544476
"355",53.139999,53.18,52.459999,52.619999,8862300,47.185783
"356",52.91,53.400002,52.700001,53.130001,6115800,47.643108
"357",52.330002,52.400002,49.970001,51.450001,15081900,46.136604
"358",51.400002,52.18,51.27,51.919998,8081600,46.558067
"359",52.009998,52.970001,51.68,52.919998,7211800,47.454803
"360",52.950001,53.09,52.400002,52.619999,5723800,47.185783
"361",52.619999,53.220001,52.59,53.16,4687500,47.67001
"362",53.299999,53.5,52.860001,53.119999,4927200,47.634144
"363",53.139999,53.360001,52.98,53.130001,8287300,47.643108
"364",53.349998,54.299999,53.240002,53.459999,7313300,47.939034
"365",53.48,53.860001,53.110001,53.630001,4789100,48.09148
"366",54.139999,54.810001,53.860001,54.799999,14496700,49.140644
"367",54.279999,54.490002,53.509998,53.650002,8520800,48.109409
"368",53.400002,53.73,53.040001,53.639999,5470700,48.100445
"369",53.599998,54.310001,53.560001,54.25,6142000,48.647446
