"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"503",192.520004,193.199997,188.949997,191.899994,3009100,175.78891
"504",192.149994,194.179993,188.669998,188.979996,3973900,173.114075
"505",191.460007,196.520004,190.839996,195.440002,4193400,179.031738
"506",194.759995,199.360001,194,198.070007,3032500,181.440933
"507",199.199997,201.119995,196.679993,200.610001,3290300,183.767685
"508",202.360001,202.899994,199.630005,200.369995,2869700,183.547821
"509",200.369995,203.520004,199.470001,202.679993,3131300,185.663864
"510",200.639999,200.990005,198,200.559998,3379700,183.721878
"511",199.490005,200,196.660004,196.779999,3378600,180.259232
"512",196.300003,199.990005,196.039993,199.380005,2859800,182.64093
"513",199.300003,200.440002,197.600006,198.889999,3302400,182.192062
"514",198.380005,202.529999,197.979996,201.919998,2440200,184.967697
"515",203.330002,204.330002,201.039993,203.880005,3095000,186.763107
"516",202.619995,203.479996,200.779999,201.979996,3173100,185.022659
"517",201.990005,203.949997,200.130005,201.559998,1917500,184.637924
"518",201.610001,202.399994,199.740005,200.970001,2390800,184.097458
"519",201.949997,202.229996,196.880005,198.770004,4383600,182.082153
"520",194.970001,194.970001,190.009995,191.949997,4186200,175.834747
"521",192.179993,193.669998,190.800003,192.110001,3182100,175.981293
"522",188.889999,189.759995,179.649994,184.860001,8089100,169.339981
"523",184.779999,187.600006,183.910004,187.110001,4397900,171.401093
"524",186.509995,187.830002,185.559998,187.070007,2488900,171.364456
"525",186.960007,187.139999,184.289993,186.179993,2930900,170.549133
"526",186.199997,189.059998,185.720001,188.309998,4933300,172.500336
"527",188.309998,191.869995,188.110001,190.759995,3322400,174.744659
"528",190.669998,190.669998,182.669998,184.229996,4188100,168.762863
"529",183.410004,186.050003,183.410004,186,2601000,170.384277
"530",186.789993,187.110001,185.509995,185.789993,2867300,170.191895
"531",187.330002,188.960007,186.429993,188.429993,2412400,172.610245
"532",189.220001,190.119995,188.399994,188.979996,2166000,173.114075
"533",187.589996,187.800003,185.759995,186.679993,2611500,172.329422
"534",188.070007,189.100006,185.990005,188.339996,3314600,173.861832
"535",187.789993,188.470001,186.850006,186.970001,2267500,172.597122
"536",187.190002,189.220001,186.479996,186.919998,3046400,172.550995
"537",186.389999,187.399994,184.75,185.5,2947600,171.240143
"538",185.889999,188.860001,185.809998,187.5,2774100,173.086395
"539",188.660004,190.470001,187.889999,189.809998,3182600,175.218811
"540",189.559998,191.649994,189.360001,190.080002,2431000,175.468063
"541",188.740005,192.190002,188.660004,191.419998,1886200,176.705063
"542",191.380005,191.630005,189.729996,190.080002,2776200,175.468063
