"","PTC.Open","PTC.High","PTC.Low","PTC.Close","PTC.Volume","PTC.Adjusted"
"81",54.200001,54.23,53.610001,54.049999,898500,54.049999
"82",54.09,54.869999,53.990002,54.82,1032100,54.82
"83",54.790001,55.310001,54.700001,54.740002,1250300,54.740002
"84",54.599998,54.720001,53.52,53.580002,1066800,53.580002
"85",53.939999,54.259998,53.68,53.990002,739600,53.990002
"86",54.18,54.490002,53.939999,54.34,901000,54.34
"87",54.27,54.990002,53.200001,53.330002,1098600,53.330002
"88",53.43,53.93,53.419998,53.82,814700,53.82
"89",53.799999,53.970001,53.080002,53.32,825900,53.32
"90",53.560001,53.849998,52.650002,53.029999,1201000,53.029999
"91",52.990002,53.07,52.490002,52.950001,794600,52.950001
"92",52.98,53.34,52.380001,52.619999,1537800,52.619999
"93",52.459999,53.560001,52.419998,53.52,804800,53.52
"94",52.860001,53.080002,51.57,51.630001,792600,51.630001
"95",51.790001,51.919998,51.02,51.139999,788500,51.139999
"96",51.689999,55.950001,51.540001,55,4179800,55
"97",55.099998,56,54.740002,55.93,1262900,55.93
"98",55.990002,56.509998,55.549999,55.900002,878500,55.900002
"99",56.110001,57.439999,56.110001,57.139999,1621600,57.139999
"100",57.450001,59,57.450001,58.139999,2086200,58.139999
"101",58.200001,58.540001,57.759998,58,976800,58
"102",57.869999,58.16,57.73,57.970001,633900,57.970001
"103",58.02,58.419998,57.540001,57.580002,790700,57.580002
"104",57.849998,58.220001,57.380001,57.790001,1261100,57.790001
"105",57.990002,59.290001,57.75,59.07,1169600,59.07
"106",58.73,59.200001,58.59,58.869999,854700,58.869999
"107",58.66,59.919998,58.040001,59.259998,1278100,59.259998
"108",59.259998,59.509998,58.82,59.220001,791400,59.220001
"109",59.310001,59.799999,58.959999,59.689999,699400,59.689999
"110",59.82,60.150002,55.68,56.990002,1863400,56.990002
"111",56.490002,56.77,54.060001,56.049999,2084300,56.049999
"112",56.669998,57.880001,56.549999,57.869999,1482500,57.869999
"113",57.860001,58.400002,57.18,57.599998,1411100,57.599998
