"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"889",199.990005,201.309998,198.529999,199.190002,649000,199.190002
"890",198,198.960007,197.479996,198.389999,707100,198.389999
"891",199.429993,201.369995,198,199.699997,801300,199.699997
"892",200,208.630005,199.449997,207.660004,769800,207.660004
"893",208.100006,208.779999,204.229996,205.009995,781900,205.009995
"894",206.190002,207.25,204.699997,205.809998,553100,205.809998
"895",206.119995,210.410004,204.889999,205.479996,953000,205.479996
"896",207.100006,213,204.580002,208.529999,1716200,208.529999
"897",208.259995,210.850006,207.179993,209.789993,585500,209.789993
"898",209.470001,210.399994,206.190002,206.419998,599300,206.419998
"899",206.830002,211.149994,206.830002,208.729996,541700,208.729996
"900",205.190002,208.990005,204.449997,208.479996,537100,208.479996
"901",209.190002,211.729996,208.179993,211.679993,548400,211.679993
"902",211.630005,213.509995,211.139999,212.050003,405100,212.050003
"903",211.869995,214.720001,211.339996,214.380005,841700,214.380005
"904",215,215.75,211.139999,212.160004,597500,212.160004
"905",211.470001,213.699997,208.869995,211.800003,548800,211.800003
"906",211.309998,212.190002,208.820007,210.399994,409000,210.399994
"907",210,210,205.089996,206.300003,497500,206.300003
"908",206.830002,206.860001,201.509995,201.800003,584300,201.800003
"909",202.139999,205.470001,202.050003,205.220001,608500,205.220001
"910",205.220001,211.729996,205.220001,210.300003,638400,210.300003
"911",210.929993,211.190002,206.520004,207.289993,470200,207.289993
"912",207.820007,209.139999,206.360001,206.75,491000,206.75
"913",207.869995,208.949997,206.580002,206.990005,535000,206.990005
"914",207.470001,207.979996,205.660004,206.149994,734700,206.149994
"915",202.800003,208.740005,202.800003,208.160004,1009100,208.160004
"916",207.369995,207.550003,205.350006,206.729996,1356100,206.729996
"917",205.929993,208,205.669998,207.300003,467800,207.300003
"918",205.889999,207.990005,205.419998,205.699997,515200,205.699997
"919",206.839996,209.380005,205.949997,208.509995,634600,208.509995
"920",209.970001,209.970001,207.130005,207.869995,396700,207.869995
