"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"80",59.450001,59.73,59.310001,59.700001,3230000,56.635014
"81",59.740002,60.400002,59.439999,60.23,4694400,57.137798
"82",60.400002,60.75,60.16,60.349998,5007200,57.251633
"83",60.330002,60.810001,60.200001,60.490002,3963300,57.38446
"84",60.720001,60.799999,60.209999,60.560001,3562500,57.450859
"85",60.759998,61.150002,60.560001,60.75,5479600,57.6311
"86",61.689999,63.34,61.5,63.220001,8224700,59.974297
"87",63.189999,64.43,63,64.279999,6848000,60.979881
"88",63.509998,64.339996,63.389999,64.169998,3534000,60.875515
"89",63.990002,64.300003,63.66,63.970001,3430100,60.685795
"90",63.599998,64.32,63.599998,64.25,3053000,60.951405
"91",64.32,64.68,64.040001,64.389999,4268800,61.084229
"92",64.400002,64.720001,64.129997,64.489998,6625300,61.179092
"93",64.639999,65.25,64.260002,65.190002,3239800,61.843151
"94",64.739998,65,64.290001,64.5,3892900,61.188587
"95",64.160004,65.32,63.959999,65.019997,4029600,61.825657
"96",65.110001,65.519997,64.900002,65.419998,3559700,62.206009
"97",65.400002,65.860001,65.169998,65.790001,3313700,62.557835
"98",66,66.300003,65.660004,66.010002,4913100,62.767014
"99",66.169998,66.610001,65.849998,66.489998,3092700,63.223442
"100",66.669998,67.040001,66.540001,66.879997,4639800,63.59428
"101",67.129997,67.129997,66.699997,66.790001,2559400,63.508698
"102",66.690002,66.690002,66.290001,66.489998,5077500,63.223442
"103",66.639999,67.099998,66.43,66.910004,3847900,63.622826
"104",66.910004,67.440002,66.660004,67.389999,3770300,64.079208
"105",67.5,67.559998,66.660004,67.470001,6531000,64.155304
"106",67.489998,67.879997,67.309998,67.559998,2297700,64.240883
"107",67.290001,67.769997,67.150002,67.410004,5665700,64.098259
"108",67.040001,67.389999,66.5,66.959999,4746600,63.670345
"109",66.410004,66.919998,66.300003,66.870003,3341500,63.584785
"110",67.129997,67.129997,65.830002,66.309998,4296100,63.052277
"111",65.910004,66.330002,65.589996,66.290001,4236200,63.033272
"112",66.43,66.639999,65.800003,66.43,4601200,63.166405
"113",66.440002,66.93,65.940002,66.470001,3198400,63.204411
"114",66.110001,66.550003,65.790001,66.389999,4005700,63.128361
"115",66.129997,66.639999,65.870003,66.589996,10421500,63.318554
"116",66.849998,67.459999,66.849998,67.400002,3263700,64.088737
"117",67.010002,67.720001,67.010002,67.269997,2722800,63.965111
"118",67.339996,68.18,67.139999,67.910004,3428400,64.573685
"119",67.889999,68.110001,66.870003,67.120003,5048400,63.82251
"120",67.019997,67.779999,66.860001,67.379997,4543900,64.06971
"121",67.800003,68.099998,67.309998,67.459999,3139900,64.145798
"122",67.309998,67.68,66.519997,66.529999,3051700,63.261475
"123",66.809998,67.239998,66.529999,67.029999,4151700,63.736919
"124",67.019997,67.160004,65.599998,66.139999,3701700,62.890633
"125",66.550003,66.900002,66.169998,66.400002,3926900,63.137875
"126",66.93,66.980003,66.400002,66.699997,1294300,63.42313
"127",66.809998,67.25,66.139999,66.889999,2612900,63.603794
"128",66.459999,66.690002,66.050003,66.290001,2362400,63.033272
"129",66.400002,67.32,66.370003,66.959999,2529500,63.670345
"130",66.989998,67.32,66.650002,67.279999,2212400,63.974617
"131",67.18,67.660004,67.059998,67.599998,1904100,64.278915
"132",68.050003,68.370003,67.910004,68.129997,3177100,64.782875
"133",68.260002,68.260002,67.610001,67.900002,3844800,64.564186
"134",68.279999,68.910004,68.129997,68.830002,3136600,65.448479
"135",68.779999,69,68.519997,68.889999,2507100,65.505531
"136",68.779999,68.959999,68.419998,68.790001,2436400,65.410446
"137",68.800003,69.5,68.650002,69.5,2798200,66.085579
"138",69.75,70.300003,69.629997,69.959999,2617100,66.522957
"139",69.669998,70.059998,69.599998,69.980003,2888600,66.541992
"140",69.959999,70.059998,69.639999,69.959999,3488200,66.522957
"141",69.959999,70.349998,69.730003,69.970001,2599300,66.532478
"142",70.209999,70.449997,69.889999,70.050003,2206100,66.608543
