"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"938",138.419998,138.419998,136.089996,136.309998,6373700,132.231415
"939",136.669998,137.149994,135.710007,136.919998,5708200,132.823181
"940",135.889999,137.990005,135.889999,137.619995,4969900,133.502213
"941",138.559998,139.940002,137.779999,138.009995,5810800,133.880554
"942",138.389999,138.419998,136.660004,137.259995,4492100,133.152985
"943",138.160004,139.850006,137.809998,138.990005,8727800,134.831238
"944",139.580002,139.990005,138.210007,139.240005,5713400,135.07373
"945",137.929993,139.119995,136.949997,138.119995,6077900,133.987259
"946",138.720001,139.649994,138.300003,139.389999,6333900,135.219254
"947",139.419998,140.770004,138.809998,139.610001,6042900,135.432678
"948",140.080002,141.389999,139.369995,140.699997,4640900,136.490067
"949",140.559998,141.929993,140.360001,141.649994,4569800,137.411636
"950",141.839996,143.639999,141.699997,142.919998,6551700,138.643646
"951",143.330002,145.330002,143.330002,144.490005,5791500,140.166672
"952",143.820007,144.839996,143.460007,144.210007,4509400,139.895035
"953",144.179993,145.100006,143.080002,144.039993,3860700,139.730103
"954",143.059998,144.389999,142.889999,143.830002,4997100,139.526413
"955",144.419998,145.869995,143.919998,144.389999,6806100,140.069656
"956",144.470001,145.389999,141.130005,141.910004,6427600,137.663864
"957",145.610001,145.690002,141.899994,142.479996,7582100,138.216782
"958",142.490005,144.339996,142.470001,143.25,5649700,138.963745
"959",141.490005,142.75,141.080002,141.449997,4502900,137.979507
"960",141.759995,142.880005,141.759995,142.380005,4278100,138.886703
"961",141.5,142.050003,140.009995,141.300003,5315500,137.833206
"962",141.940002,143.339996,141.649994,142.360001,6806700,138.867188
"963",140.449997,140.940002,137.309998,137.660004,8192200,134.282516
"964",137.350006,139.089996,135.800003,137.570007,5476900,134.194717
"965",137.179993,137.990005,134.679993,137.100006,6422000,133.736267
