"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"116",146.369995,147.380005,145.820007,146.149994,1268600,131.508011
"117",145.240005,145.800003,144.619995,144.740005,801400,130.239304
"118",144.910004,145.649994,143.309998,143.479996,749900,129.105515
"119",143.320007,144.529999,143.199997,144.25,1007800,129.798386
"120",144.600006,145.029999,143.809998,144.940002,4010200,130.419235
"121",145.029999,145.539993,144.580002,144.910004,1150900,130.392227
"122",145.050003,145.509995,143.830002,143.830002,796500,129.420456
"123",145.169998,145.25,144.399994,144.839996,869700,130.3293
"124",144.190002,144.460007,140.779999,141.770004,891700,128.409103
"125",141.970001,143.860001,141.889999,143.059998,938100,129.577499
"126",143.729996,144.740005,143.5,144.289993,411600,130.691559
"127",144.149994,144.490005,142.449997,142.610001,718700,129.169937
"128",142.309998,143.440002,141.990005,142.130005,533600,128.735138
"129",142.429993,144.130005,142.070007,144.009995,708700,130.437958
"130",143.539993,144.520004,143.080002,143.5,591100,129.976059
"131",143.619995,143.720001,142.190002,142.770004,645400,129.314819
"132",143.25,144.240005,143.179993,143.729996,948700,130.184357
"133",143.899994,144.679993,143.289993,144.369995,1004800,130.764023
"134",144.660004,145.779999,144.350006,145.570007,1013600,131.850967
"135",145.429993,146.080002,145.240005,145.550003,1195100,131.832886
"136",144.589996,145.5,144.589996,145.240005,757300,131.552048
"137",145.179993,146.210007,144.820007,146.210007,1478500,132.430649
"138",146.020004,146.339996,145.130005,146.009995,1299900,132.249466
"139",145.889999,145.889999,144.649994,145.639999,1226600,131.914368
"140",145.330002,145.330002,144.320007,144.940002,1308200,131.280334
"141",145.990005,146.550003,144.729996,145.039993,1284700,131.370865
"142",144.960007,145.160004,143.820007,143.899994,1108100,130.338333
"143",144.080002,144.300003,142.710007,143.649994,1243200,130.111908
"144",143.979996,144.190002,142.619995,143.490005,928900,129.96698
"145",144.179993,144.229996,141.880005,142.149994,1826700,128.753265
"146",148,149.639999,146.149994,148.919998,4473400,134.885239
"147",148.339996,148.899994,146.979996,148.110001,3983700,134.151581
"148",148.470001,148.600006,146.699997,146.919998,1860000,133.073685
