"Index" "DGOpen" "DGHigh" "DGLow" "DGClose" "DGVolume" "DGAdjusted"
"2013-07-23" 59.32 59.540001 58.91 59.330002 1689800 50.096073
"2013-07-24" 59.330002 59.34 58.700001 58.720001 1596600 49.581017
"2013-07-25" 58.720001 59.060001 58.299999 58.790001 1928100 49.640121
"2013-07-26" 58.619999 58.700001 58.360001 58.5 914900 49.395252
"2013-07-29" 58.5 58.939999 58.450001 58.75 810900 49.60635
"2013-07-30" 58.860001 58.939999 58.27 58.41 785200 49.319263
"2013-07-31" 58.540001 58.779999 58.110001 58.310001 1231500 49.234837
"2013-08-01" 58.639999 58.810001 58.220001 58.700001 1182400 49.564129
"2013-08-02" 58.52 58.860001 58.389999 58.610001 826500 49.488136
"2013-08-05" 58.509998 58.880001 58.380001 58.509998 638500 49.40369
