"Index" "SJOpen" "SJHigh" "SJLow" "SJClose" "SJVolume" "SJAdjusted"
"2013-07-03" 103.169998 103.43 102.339996 102.589996 494000 81.940155
"2013-07-05" 102.919998 103.139999 101.440002 103.120003 393500 82.363495
"2013-07-08" 103.580002 104.879997 103.269997 104.370003 571600 83.361885
"2013-07-09" 104.860001 105.18 104.290001 104.620003 459800 83.561584
"2013-07-10" 104.620003 104.900002 104.029999 104.529999 459400 83.489662
"2013-07-11" 105.599998 106 105.029999 105.93 652400 84.607864
"2013-07-12" 105.730003 106.190002 105.120003 106.010002 482700 84.671761
"2013-07-15" 105.849998 106.870003 105.660004 106.660004 421100 85.190933
"2013-07-16" 107.019997 107.449997 105.830002 107.160004 520000 85.590317
"2013-07-17" 107.5 107.540001 106.199997 106.580002 310100 85.127052
"2013-07-18" 106.660004 107.550003 106.559998 107.389999 364400 85.773979
"2013-07-19" 107.43 108.279999 106.68 108.160004 330400 86.389015
"2013-07-22" 108.199997 108.82 107.510002 108.790001 633300 86.892204
"2013-07-23" 108.709999 109.940002 108.5 109.68 588900 87.603065
"2013-07-24" 109.720001 109.919998 108.599998 109.510002 573600 87.467285
"2013-07-25" 109.139999 110.849998 108.650002 110.720001 640800 88.433716
"2013-07-26" 110.360001 111.599998 109.889999 111.540001 487800 89.088669
"2013-07-29" 111.589996 112.449997 111.360001 112.050003 395100 89.49601
"2013-07-30" 112.769997 113.120003 112.260002 112.389999 361800 89.767555
