"Index" "VMOpen" "VMHigh" "VMLow" "VMClose" "VMVolume" "VMAdjusted"
"2013-02-22" 52.369999 52.77 51.75 51.959999 829200 48.833122
"2013-02-25" 52.400002 52.689999 49.349998 49.48 961300 46.50238
"2013-02-26" 49.990002 50.709999 49.349998 50.580002 725400 47.536182
"2013-02-27" 50.52 51.419998 50.48 51.099998 699000 48.024887
"2013-02-28" 51.099998 51.419998 50.580002 50.93 1480400 47.865124
"2013-03-01" 50.549999 52.25 49.950001 51.990002 761800 48.861328
"2013-03-04" 51.619999 52.330002 51.41 52.099998 584200 48.964714
"2013-03-05" 52.48 54.349998 52.139999 53.689999 868000 50.45903
"2013-03-06" 53.790001 54.110001 53.380001 53.5 496000 50.280464
"2013-03-07" 53.57 54.040001 53.18 53.98 498800 50.731575
"2013-03-08" 54.150002 54.91 54.150002 54.720001 488600 51.427055
"2013-03-11" 54.540001 54.790001 54.139999 54.639999 427300 51.351864
"2013-03-12" 54.540001 54.889999 54.150002 54.279999 323900 51.013515
"2013-03-13" 54.290001 54.66 54 54.450001 297100 51.173298
"2013-03-14" 54.490002 55.369999 54.490002 54.810001 547100 51.511631
"2013-03-15" 54.57 54.889999 53.939999 54.560001 660900 51.276669
"2013-03-18" 53.799999 54.73 53.779999 54.099998 374300 50.844349
"2013-03-19" 54.330002 54.48 52.84 53.040001 400100 49.84816
"2013-03-20" 53.580002 53.98 53.189999 53.740002 295500 50.506012
"2013-03-21" 53.709999 53.709999 52.169998 52.25 397800 49.105694
"2013-03-22" 52.16 52.5 51.150002 51.43 479800 48.335026
"2013-03-25" 51.709999 52.32 51.48 51.5 659500 48.400814
"2013-03-26" 51.709999 52.049999 50.959999 51.5 317200 48.400814
"2013-03-27" 50.889999 51.200001 50.52 51.09 271800 48.015491
"2013-03-28" 51.139999 51.84 50.389999 51.700001 723300 48.588787
"2013-04-01" 51.700001 51.700001 50.029999 50.240002 294800 47.216637
"2013-04-02" 50.560001 50.599998 48.779999 48.919998 514800 45.976078
"2013-04-03" 49.049999 49.27 47.580002 48.209999 704100 45.3088
"2013-04-04" 48.240002 48.889999 48.139999 48.470001 431800 45.553169
"2013-04-05" 47.560001 48.919998 47.540001 48.830002 526800 45.891506
"2013-04-08" 48.939999 49.369999 48.330002 48.93 515600 45.985481
"2013-04-09" 48.939999 49.709999 48.259998 49.650002 516700 46.662155
"2013-04-10" 49.630001 49.91 48.650002 49.880001 472700 46.878304
"2013-04-11" 49.849998 51.009998 49.43 50.779999 550300 47.724148
"2013-04-12" 50.290001 50.560001 48.709999 48.880001 466700 45.938496
"2013-04-15" 48.27 48.349998 45.419998 45.59 1309000 42.846462
"2013-04-16" 46.669998 48.700001 46.669998 48.689999 1209600 45.759922
"2013-04-17" 48.32 48.52 47.34 47.73 675300 44.857681
"2013-04-18" 47.82 47.849998 45.68 46.029999 463600 43.259998
"2013-04-19" 46.240002 46.380001 45.450001 46.049999 1037200 43.278793
"2013-04-22" 46.25 46.900002 45.52 46.669998 864700 43.861477
"2013-04-23" 47.07 47.509998 46.049999 46.98 634600 44.152828
"2013-04-24" 47.099998 48.029999 46.599998 47.759998 940700 44.885891
"2013-04-25" 48.139999 48.240002 47.330002 47.419998 703400 44.566349
"2013-04-26" 47.360001 47.360001 45.860001 46.52 1051100 43.720512
"2013-04-29" 46.919998 48.950001 46.580002 48.740002 1091500 45.806919
"2013-04-30" 48.279999 50.049999 48.099998 49.880001 912200 46.878304
"2013-05-01" 49.580002 49.66 48 48.380001 743900 45.468582
"2013-05-02" 49 51.290001 48.529999 50.98 982000 47.912102
"2013-05-03" 51.59 54.080002 51.299999 53.48 1309100 50.261673
"2013-05-06" 53.060001 54.200001 52.619999 53.720001 814200 50.487225
"2013-05-07" 53.740002 54.52 53.369999 54.470001 593900 51.192101
"2013-05-08" 54.380001 54.880001 53.799999 54.880001 688400 51.577427
"2013-05-09" 54.75 55.099998 54.27 54.610001 905000 51.323662
"2013-05-10" 54.450001 54.68 54 54.57 528100 51.286072
