"Index" "SNOpen" "SNHigh" "SNLow" "SNClose" "SNVolume" "SNAdjusted"
"2013-05-28" 69.690002 70.589996 69.18 70.010002 1260279 65.545403
"2013-05-29" 69.540001 69.639999 68.220001 68.730003 904764 64.485191
"2013-05-30" 68.709999 69.07 68.209999 68.239998 627508 64.025429
"2013-05-31" 67.870003 68.870003 67.339996 67.360001 635452 63.199783
"2013-06-03" 67.379997 68.209999 65.698997 66.760002 772621 62.636845
"2013-06-04" 66.639999 67.68 66.580002 67.099998 949530 62.955845
"2013-06-05" 66.889999 66.919998 65.010002 65.639999 706993 61.586018
"2013-06-06" 65.629997 65.75 64.849998 65.599998 596343 61.548496
"2013-06-07" 65.849998 66.849998 65.43 66.800003 430248 62.674374
"2013-06-10" 67 67.190002 65.940002 66.129997 1335508 62.045746
"2013-06-11" 65.620003 66.269997 65.050003 65.830002 826298 61.764297
"2013-06-12" 66.089996 66.300003 64.220001 64.400002 715661 60.422607
"2013-06-13" 64.400002 66.980003 64.019997 66.75 1218500 62.627472
"2013-06-14" 66.089996 66.690002 65.629997 66.550003 697301 62.4398
"2013-06-17" 66.879997 67.910004 66.830002 67.440002 1096675 63.274849
"2013-06-18" 67.559998 68.220001 67.330002 67.93 712511 63.734592
"2013-06-19" 68.010002 69.230003 67.75 67.760002 876646 63.575092
"2013-06-20" 67.239998 67.610001 66.220001 66.25 1107404 62.158348
"2013-06-21" 66.519997 66.940002 65.379997 66.040001 1073741 61.961315
"2013-06-24" 65.559998 65.559998 64.660004 65.07 551144 61.051216
"2013-06-25" 65.540001 65.769997 64.830002 65.080002 820924 61.060608
"2013-06-26" 65.720001 65.940002 64.875 65.410004 649016 61.370235
"2013-06-27" 65.760002 66.660004 65.639999 66.610001 743826 62.496105
"2013-06-28" 66.529999 67.269997 66.309998 66.760002 1353120 62.636845
"2013-07-01" 67.199997 67.730003 66.830002 67.610001 635748 63.434357
"2013-07-02" 67.5 68.25 67.300003 68.230003 831279 64.016068
"2013-07-03" 67.790001 68.903999 67.790001 68.760002 364662 64.513329
"2013-07-05" 69.120003 69.889999 68.970001 69.849998 496453 65.536026
"2013-07-08" 70.25 70.690002 70.089996 70.519997 509107 66.164642
"2013-07-09" 70.870003 71.580002 70.32 70.82 708114 66.446091
"2013-07-10" 70.870003 71.080002 70.199997 71 525958 66.614983
"2013-07-11" 71.790001 72.220001 71.459999 72.019997 345604 67.571976
"2013-07-12" 72.349998 72.75 71.959999 72.690002 371212 68.200607
"2013-07-15" 72.610001 73.129997 72.419998 73.059998 471179 68.547745
"2013-07-16" 73.029999 73.449997 72.239998 72.519997 630254 68.041092
"2013-07-17" 72.18 72.419998 71.279999 71.510002 712214 67.093483
"2013-07-18" 71.790001 72.970001 71.57 72.919998 722250 68.416397
"2013-07-19" 72.75 72.959999 72.019997 72.290001 641818 67.825302
"2013-07-22" 72.519997 72.614998 71.650002 71.809998 433993 67.374954
"2013-07-23" 71.93 72.199997 71.620003 71.989998 352555 67.543823
"2013-07-24" 72.080002 72.470001 71.290001 71.699997 339714 67.271744
"2013-07-25" 71.610001 72.349998 71.544998 72 601245 67.553207
"2013-07-26" 71.839996 72.029999 71.199997 71.519997 481840 67.102875
"2013-07-29" 71.470001 72.059998 71.089996 71.330002 368706 66.924606
"2013-07-30" 71.779999 72.349998 70.660004 70.919998 571303 66.539925
"2013-07-31" 71.029999 71.459999 70.580002 70.769997 431432 66.39917
"2013-08-01" 71.440002 72.470001 71.440002 72.309998 619773 67.844063
"2013-08-02" 72.110001 73.080002 72.025002 72.980003 473657 68.472702
